"Income inequality, Palma ratio"
"HDI Rank","Country","2010-2017"
"68"," Albania","1.0  a"
"85"," Algeria","1.0  a"
"147"," Angola","2.1  a,b"
"47"," Argentina","2.1  a"
"83"," Armenia","1.3  a"
"3"," Australia","1.4  a"
"20"," Austria","1.1  a,b"
"80"," Azerbaijan","0.6  a,b"
"136"," Bangladesh","1.3  a"
"53"," Belarus","1.0  a"
"17"," Belgium","1.0  a"
"163"," Benin","2.9  a"
"134"," Bhutan","1.8  a"
"118"," Bolivia (Plurinational State of)","2.4  a"
"77"," Bosnia and Herzegovina","1.3  a"
"101"," Botswana","5.8  a,b"
"79"," Brazil","3.5  a"
"51"," Bulgaria","1.6  a"
"183"," Burkina Faso","1.5  a"
"185"," Burundi","1.7  a"
"125"," Cabo Verde","2.7  a,b"
"151"," Cameroon","2.7  a"
"12"," Canada","1.3  a"
"188"," Central African Republic","4.5  a,b"
"186"," Chad","2.2  a"
"44"," Chile","2.8  a"
"86"," China","2.1  a"
"90"," Colombia","3.4  a"
"165"," Comoros","2.5  a"
"137"," Congo","3.1  a"
"176"," Congo (Democratic Republic of the)","2.1  a"
"63"," Costa Rica","3.0  a"
"46"," Croatia","1.1  a"
"32"," Cyprus","1.4  a"
"27"," Czechia","0.9  a"
"170"," Côte d'Ivoire","2.0  a"
"11"," Denmark","1.0  a"
"172"," Djibouti","2.3  a"
"94"," Dominican Republic","2.5  a"
"86"," Ecuador","2.4  a"
"115"," Egypt","1.3  a"
"121"," El Salvador","1.9  a"
"30"," Estonia","1.2  a"
"144"," Eswatini (Kingdom of)","3.5  a,b"
"173"," Ethiopia","1.8  a"
"92"," Fiji","1.6  a"
"15"," Finland","1.0  a"
"24"," France","1.3  a"
"110"," Gabon","2.1  a,b"
"174"," Gambia","1.5  a"
"70"," Georgia","1.5  a"
"5"," Germany","1.2  a"
"140"," Ghana","2.1  a"
"31"," Greece","1.5  a"
"127"," Guatemala","2.9  a"
"175"," Guinea","1.3  a"
"177"," Guinea-Bissau","3.3  a"
"168"," Haiti","2.0  a"
"133"," Honduras","3.4  a"
"45"," Hungary","1.1  a"
"6"," Iceland","0.9  a"
"130"," India","1.5  a"
"116"," Indonesia","1.8  a"
"60"," Iran (Islamic Republic of)","1.7  a"
"120"," Iraq","1.1  a"
"4"," Ireland","1.2  a"
"22"," Israel","2.0  a"
"28"," Italy","1.4  a"
"19"," Japan","1.2  a,b"
"95"," Jordan","1.4  a"
"58"," Kazakhstan","0.9  a"
"142"," Kenya","2.9  a,b"
"134"," Kiribati","1.6  a,b"
"22"," Korea (Republic of)","1.2  a"
"122"," Kyrgyzstan","1.0  a"
"139"," Lao People's Democratic Republic","1.6  a"
"41"," Latvia","1.4  a"
"80"," Lebanon","1.2  a"
"159"," Lesotho","4.3  a"
"181"," Liberia","1.3  a"
"35"," Lithuania","1.6  a"
"21"," Luxembourg","1.2  a"
"161"," Madagascar","2.1  a"
"171"," Malawi","2.5  a"
"57"," Malaysia","2.6  a,b"
"101"," Maldives","1.7  a,b"
"182"," Mali","1.3  a,b"
"29"," Malta","1.1  a"
"159"," Mauritania","1.3  a"
"65"," Mauritius","1.5  a"
"74"," Mexico","2.3  a"
"131"," Micronesia (Federated States of)","1.8  a"
"112"," Moldova (Republic of)","0.9  a"
"92"," Mongolia","1.3  a"
"50"," Montenegro","1.2  a"
"123"," Morocco","1.9  a,b"
"180"," Mozambique","3.9  a"
"148"," Myanmar","1.7  a"
"129"," Namibia","5.8  a,b"
"149"," Nepal","1.3  a"
"10"," Netherlands","1.1  a"
"124"," Nicaragua","2.6  a"
"189"," Niger","1.4  a"
"157"," Nigeria","2.2  a,b"
"1"," Norway","1.0  a"
"150"," Pakistan","1.2  a"
"119"," Palestine, State of","1.4  a"
"66"," Panama","3.4  a"
"153"," Papua New Guinea","2.0  a,b"
"110"," Paraguay","2.9  a"
"89"," Peru","2.3  a"
"113"," Philippines","1.9  a"
"33"," Poland","1.2  a"
"41"," Portugal","1.5  a"
"52"," Romania","1.0  a"
"49"," Russian Federation","1.6  a"
"158"," Rwanda","3.2  a"
"104"," Samoa","2.1  a,b"
"143"," Sao Tome and Principe","1.1  a"
"164"," Senegal","1.9  a"
"67"," Serbia","1.0  a"
"62"," Seychelles","2.6  a"
"184"," Sierra Leone","1.4  a"
"38"," Slovakia","0.9  a"
"25"," Slovenia","0.9  a"
"152"," Solomon Islands","1.6  a"
"113"," South Africa","7.0  a"
"187"," South Sudan","2.7  a,b"
"26"," Spain","1.5  a"
"76"," Sri Lanka","1.9  a"
"167"," Sudan","1.4  a,b"
"7"," Sweden","1.0  a"
"2"," Switzerland","1.3  a"
"127"," Tajikistan","1.4  a"
"154"," Tanzania (United Republic of)","1.7  a"
"83"," Thailand","1.6  a"
"80"," The former Yugoslav Republic of Macedonia","1.4  a"
"132"," Timor-Leste","1.1  a"
"165"," Togo","2.2  a"
"98"," Tonga","1.6  a,b"
"95"," Tunisia","1.5  a"
"64"," Turkey","2.1  a"
"n.a"," Tuvalu","1.8  a"
"162"," Uganda","2.0  a"
"88"," Ukraine","0.9  a"
"14"," United Kingdom","1.3  a"
"13"," United States","2.0  a"
"55"," Uruguay","1.8  a"
"138"," Vanuatu","1.6  a"
"78"," Venezuela (Bolivarian Republic of)","2.8  a,b"
"116"," Viet Nam","1.4  a"
"178"," Yemen","1.6  a"
"144"," Zambia","5.0  a"
"156"," Zimbabwe","2.2  a"
"<a name="a"></a>a: Data refer to the most recent year available during the period specified.<br /><a name="a"></a>b: Data refer to a year earlier than 2010.<br />"
