"Income inequality, Gini coefficient"
"HDI Rank","Country","2010-2017"
"68"," Albania","29.0  a"
"85"," Algeria","27.6  a"
"147"," Angola","42.7  a,b"
"47"," Argentina","42.4  a"
"83"," Armenia","32.5  a"
"3"," Australia","34.7  a"
"20"," Austria","30.5  a"
"80"," Azerbaijan","16.6  a,b"
"136"," Bangladesh","32.4  a"
"53"," Belarus","27.0  a"
"17"," Belgium","27.7  a"
"163"," Benin","47.8  a"
"134"," Bhutan","38.8  a"
"118"," Bolivia (Plurinational State of)","44.6  a"
"77"," Bosnia and Herzegovina","32.7  a"
"101"," Botswana","60.5  a,b"
"79"," Brazil","51.3  a"
"51"," Bulgaria","37.4  a"
"183"," Burkina Faso","35.3  a"
"185"," Burundi","38.6  a"
"125"," Cabo Verde","47.2  a,b"
"151"," Cameroon","46.6  a"
"12"," Canada","34.0  a"
"188"," Central African Republic","56.2  a,b"
"186"," Chad","43.3  a"
"44"," Chile","47.7  a"
"86"," China","42.2  a"
"90"," Colombia","50.8  a"
"165"," Comoros","45.3  a"
"137"," Congo","48.9  a"
"176"," Congo (Democratic Republic of the)","42.1  a"
"63"," Costa Rica","48.7  a,b"
"46"," Croatia","30.8  a"
"32"," Cyprus","34.0  a"
"27"," Czechia","25.9  a"
"170"," Côte d'Ivoire","41.5  a"
"11"," Denmark","28.2  a"
"172"," Djibouti","44.1  a"
"94"," Dominican Republic","45.3  a"
"86"," Ecuador","45.0  a"
"115"," Egypt","31.8  a"
"121"," El Salvador","40.0  a"
"30"," Estonia","32.7  a"
"144"," Eswatini (Kingdom of)","51.5  a,b"
"173"," Ethiopia","39.1  a"
"92"," Fiji","36.4  a"
"15"," Finland","27.1  a"
"24"," France","32.7  a,b"
"110"," Gabon","42.2  a,b"
"174"," Gambia","35.9  a"
"70"," Georgia","36.5  a"
"5"," Germany","31.7  a"
"140"," Ghana","42.4  a"
"31"," Greece","36.0  a"
"127"," Guatemala","48.3  a"
"175"," Guinea","33.7  a"
"177"," Guinea-Bissau","50.7  a"
"168"," Haiti","41.1  a"
"133"," Honduras","50.0  a"
"45"," Hungary","30.4  a"
"6"," Iceland","25.6  a"
"130"," India","35.1  a"
"116"," Indonesia","39.5  a"
"60"," Iran (Islamic Republic of)","38.8  a"
"120"," Iraq","29.5  a"
"4"," Ireland","31.9  a,b"
"22"," Israel","41.4  a"
"28"," Italy","34.7  a"
"19"," Japan","32.1  a,b"
"95"," Jordan","33.7  a"
"58"," Kazakhstan","26.9  a"
"142"," Kenya","48.5  a,b"
"134"," Kiribati","37.0  a,b"
"22"," Korea (Republic of)","31.6  a"
"122"," Kyrgyzstan","26.8  a"
"139"," Lao People's Democratic Republic","36.4  a"
"41"," Latvia","34.2  a"
"80"," Lebanon","31.8  a"
"159"," Lesotho","54.2  a"
"181"," Liberia","33.2  a"
"35"," Lithuania","37.4  a"
"21"," Luxembourg","31.2  a,b"
"161"," Madagascar","42.6  a"
"171"," Malawi","45.5  a"
"57"," Malaysia","46.3  a,b"
"101"," Maldives","38.4  a,b"
"182"," Mali","33.0  a,b"
"29"," Malta","29.0  a,b"
"159"," Mauritania","32.6  a"
"65"," Mauritius","35.8  a"
"74"," Mexico","43.4  a"
"131"," Micronesia (Federated States of)","40.1  a"
"112"," Moldova (Republic of)","26.3  a"
"92"," Mongolia","32.3  a"
"50"," Montenegro","31.9  a"
"123"," Morocco","40.7  a,b"
"180"," Mozambique","54.0  a"
"148"," Myanmar","38.1  a"
"129"," Namibia","61.0  a,b"
"149"," Nepal","32.8  a"
"10"," Netherlands","29.3  a,b"
"124"," Nicaragua","46.2  a"
"189"," Niger","34.3  a"
"157"," Nigeria","43.0  a,b"
"1"," Norway","27.5  a"
"150"," Pakistan","30.7  a"
"119"," Palestine, State of","34.4  a"
"66"," Panama","50.4  a"
"153"," Papua New Guinea","41.9  a,b"
"110"," Paraguay","47.9  a"
"89"," Peru","43.8  a"
"113"," Philippines","40.1  a"
"33"," Poland","31.8  a"
"41"," Portugal","35.5  a"
"52"," Romania","28.3  a"
"49"," Russian Federation","37.7  a"
"158"," Rwanda","50.4  a"
"104"," Samoa","42.0  a,b"
"143"," Sao Tome and Principe","30.8  a"
"164"," Senegal","40.3  a"
"67"," Serbia","28.5  a"
"62"," Seychelles","46.8  a"
"184"," Sierra Leone","34.0  a"
"38"," Slovakia","26.5  a"
"25"," Slovenia","25.4  a"
"152"," Solomon Islands","37.1  a"
"113"," South Africa","63.0  a,b"
"187"," South Sudan","46.3  a,b"
"26"," Spain","36.2  a"
"76"," Sri Lanka","39.8  a"
"167"," Sudan","35.4  a,b"
"7"," Sweden","29.2  a"
"2"," Switzerland","32.5  a"
"127"," Tajikistan","34.0  a"
"154"," Tanzania (United Republic of)","37.8  a"
"83"," Thailand","37.8  a"
"80"," The former Yugoslav Republic of Macedonia","35.6  a"
"132"," Timor-Leste","28.7  a"
"165"," Togo","43.1  a"
"98"," Tonga","37.5  a,b"
"95"," Tunisia","35.8  a"
"64"," Turkey","41.9  a"
"n.a"," Tuvalu","39.1  a"
"162"," Uganda","41.0  a"
"88"," Ukraine","25.0  a"
"14"," United Kingdom","33.2  a"
"13"," United States","41.5  a"
"55"," Uruguay","39.7  a"
"138"," Vanuatu","37.6  a"
"78"," Venezuela (Bolivarian Republic of)","46.9  a,b"
"116"," Viet Nam","34.8  a"
"178"," Yemen","36.7  a"
"144"," Zambia","57.1  a"
"156"," Zimbabwe","43.2  a"
"<a name="a"></a>a: Data refer to the most recent year available during the period specified.<br /><a name="a"></a>b: Data refer to a year earlier than 2010.<br />"
