"Income inequality, quintile ratio"
"HDI Rank","Country","2010-2017"
"68"," Albania","4.3  a"
"85"," Algeria","4.0  a"
"147"," Angola","9.0  a,b"
"47"," Argentina","9.5  a"
"83"," Armenia","5.1  a"
"3"," Australia","5.8  a"
"20"," Austria","4.9  a"
"80"," Azerbaijan","2.3  a,b"
"136"," Bangladesh","4.8  a"
"53"," Belarus","3.8  a"
"17"," Belgium","4.2  a"
"163"," Benin","16.3  a"
"134"," Bhutan","6.9  a"
"118"," Bolivia (Plurinational State of)","12.6  a"
"77"," Bosnia and Herzegovina","5.3  a"
"101"," Botswana","23.2  a,b"
"79"," Brazil","15.6  a"
"51"," Bulgaria","7.3  a"
"183"," Burkina Faso","5.3  a"
"185"," Burundi","6.7  a"
"125"," Cabo Verde","10.7  a,b"
"151"," Cameroon","11.5  a"
"12"," Canada","6.2  a"
"188"," Central African Republic","18.4  a,b"
"186"," Chad","10.0  a"
"44"," Chile","11.2  a"
"86"," China","9.2  a"
"90"," Colombia","14.3  a"
"165"," Comoros","11.2  a"
"137"," Congo","12.8  a"
"176"," Congo (Democratic Republic of the)","8.8  a"
"63"," Costa Rica","12.9  a"
"46"," Croatia","5.2  a"
"32"," Cyprus","5.3  a"
"27"," Czechia","3.7  a"
"170"," Côte d'Ivoire","8.4  a"
"11"," Denmark","4.0  a"
"172"," Djibouti","10.2  a"
"94"," Dominican Republic","10.4  a"
"86"," Ecuador","10.7  a"
"115"," Egypt","4.6  a"
"121"," El Salvador","7.9  a"
"30"," Estonia","5.4  a"
"144"," Eswatini (Kingdom of)","14.2  a,b"
"173"," Ethiopia","7.1  a"
"92"," Fiji","5.8  a"
"15"," Finland","3.9  a"
"24"," France","5.2  a"
"110"," Gabon","8.4  a,b"
"174"," Gambia","5.9  a"
"70"," Georgia","6.5  a"
"5"," Germany","5.1  a"
"140"," Ghana","8.9  a"
"31"," Greece","7.1  a"
"127"," Guatemala","11.9  a"
"175"," Guinea","5.5  a"
"177"," Guinea-Bissau","12.6  a"
"168"," Haiti","8.6  a"
"133"," Honduras","16.9  a"
"45"," Hungary","4.9  a"
"6"," Iceland","3.6  a"
"130"," India","5.3  a"
"116"," Indonesia","6.6  a"
"60"," Iran (Islamic Republic of)","7.2  a"
"120"," Iraq","4.4  a"
"4"," Ireland","5.1  a"
"22"," Israel","9.8  a"
"28"," Italy","6.6  a"
"19"," Japan","5.4  a,b"
"95"," Jordan","5.2  a"
"58"," Kazakhstan","3.7  a"
"142"," Kenya","11.5  a,b"
"134"," Kiribati","6.7  a,b"
"22"," Korea (Republic of)","5.3  a"
"122"," Kyrgyzstan","3.7  a"
"139"," Lao People's Democratic Republic","5.9  a"
"41"," Latvia","5.8  a"
"80"," Lebanon","5.1  a"
"159"," Lesotho","20.8  a"
"181"," Liberia","5.4  a"
"35"," Lithuania","7.2  a"
"21"," Luxembourg","5.0  a"
"161"," Madagascar","8.7  a"
"171"," Malawi","9.4  a"
"57"," Malaysia","11.2  a,b"
"101"," Maldives","7.0  a,b"
"182"," Mali","5.2  a,b"
"29"," Malta","4.4  a,b"
"159"," Mauritania","5.4  a"
"65"," Mauritius","5.9  a"
"74"," Mexico","8.8  a"
"131"," Micronesia (Federated States of)","8.4  a"
"112"," Moldova (Republic of)","3.7  a"
"92"," Mongolia","5.1  a"
"50"," Montenegro","4.8  a"
"123"," Morocco","7.4  a,b"
"180"," Mozambique","14.2  a"
"148"," Myanmar","6.3  a"
"129"," Namibia","20.1  a,b"
"149"," Nepal","5.0  a"
"10"," Netherlands","4.4  a"
"124"," Nicaragua","10.2  a"
"189"," Niger","5.4  a"
"157"," Nigeria","9.1  a,b"
"1"," Norway","4.1  a"
"150"," Pakistan","4.4  a"
"119"," Palestine, State of","5.5  a"
"66"," Panama","16.6  a"
"153"," Papua New Guinea","9.3  a,b"
"110"," Paraguay","11.8  a"
"89"," Peru","10.6  a"
"113"," Philippines","7.2  a"
"33"," Poland","5.0  a"
"41"," Portugal","6.4  a"
"52"," Romania","4.3  a"
"49"," Russian Federation","6.6  a"
"158"," Rwanda","11.0  a"
"104"," Samoa","7.7  a,b"
"143"," Sao Tome and Principe","4.7  a"
"164"," Senegal","7.7  a"
"67"," Serbia","4.2  a"
"62"," Seychelles","9.8  a"
"184"," Sierra Leone","5.4  a"
"38"," Slovakia","4.1  a"
"25"," Slovenia","3.7  a"
"152"," Solomon Islands","6.4  a"
"113"," South Africa","28.4  a"
"187"," South Sudan","13.0  a,b"
"26"," Spain","7.3  a"
"76"," Sri Lanka","6.8  a"
"167"," Sudan","6.2  a,b"
"7"," Sweden","4.6  a"
"2"," Switzerland","5.2  a"
"127"," Tajikistan","5.6  a"
"154"," Tanzania (United Republic of)","6.2  a"
"83"," Thailand","6.5  a"
"80"," The former Yugoslav Republic of Macedonia","7.3  a"
"132"," Timor-Leste","4.1  a"
"165"," Togo","9.7  a"
"98"," Tonga","6.7  a,b"
"95"," Tunisia","6.4  a"
"64"," Turkey","8.5  a"
"n.a"," Tuvalu","7.0  a"
"162"," Uganda","7.5  a"
"88"," Ukraine","3.5  a"
"14"," United Kingdom","5.4  a"
"13"," United States","9.4  a"
"55"," Uruguay","7.9  a"
"138"," Vanuatu","6.7  a"
"78"," Venezuela (Bolivarian Republic of)","15.8  a,b"
"116"," Viet Nam","5.9  a"
"178"," Yemen","6.1  a"
"144"," Zambia","21.1  a"
"156"," Zimbabwe","8.6  a"
"<a name="a"></a>a: Data refer to the most recent year available during the period specified.<br /><a name="a"></a>b: Data refer to a year earlier than 2010.<br />"
