"Birth registration (% under age 5)"
"HDI Rank","Country","2006-2017"
"168"," Afghanistan","42  a"
"68"," Albania","99  a"
"85"," Algeria","100  a"
"35"," Andorra","100  a,b"
"147"," Angola","25  a"
"47"," Argentina","100  a"
"83"," Armenia","99  a"
"3"," Australia","100  a,b"
"20"," Austria","100  a,b"
"80"," Azerbaijan","94  a"
"136"," Bangladesh","20  a"
"58"," Barbados","99  a"
"53"," Belarus","100  a"
"17"," Belgium","100  a,b"
"106"," Belize","96  a"
"163"," Benin","85  a"
"134"," Bhutan","100  a"
"118"," Bolivia (Plurinational State of)","76  a"
"77"," Bosnia and Herzegovina","100  a"
"101"," Botswana","83  a"
"79"," Brazil","96  a"
"51"," Bulgaria","100  a"
"183"," Burkina Faso","77  a"
"185"," Burundi","75  a"
"125"," Cabo Verde","91  a"
"146"," Cambodia","73  a"
"151"," Cameroon","66  a"
"12"," Canada","100  a,b"
"188"," Central African Republic","61  a"
"186"," Chad","12  a"
"44"," Chile","99  a"
"90"," Colombia","97  a"
"165"," Comoros","87  a"
"137"," Congo","96  a"
"176"," Congo (Democratic Republic of the)","25  a"
"63"," Costa Rica","100  a"
"73"," Cuba","100  a"
"32"," Cyprus","100  a,b"
"27"," Czechia","100  a,b"
"170"," Côte d'Ivoire","72  a"
"11"," Denmark","100  a,b"
"172"," Djibouti","92  a"
"94"," Dominican Republic","88  a"
"86"," Ecuador","94  a"
"115"," Egypt","99  a"
"121"," El Salvador","99  a"
"141"," Equatorial Guinea","54  a"
"30"," Estonia","100  a,b"
"144"," Eswatini (Kingdom of)","54  a"
"173"," Ethiopia","3  a"
"15"," Finland","100  a,b"
"24"," France","100  a,b"
"110"," Gabon","90  a"
"174"," Gambia","72  a"
"70"," Georgia","100  a"
"5"," Germany","100  a,b"
"140"," Ghana","71  a"
"31"," Greece","100  a,b"
"127"," Guatemala","96  a"
"175"," Guinea","75  a"
"177"," Guinea-Bissau","24  a"
"125"," Guyana","89  a"
"168"," Haiti","80  a"
"133"," Honduras","94  a"
"45"," Hungary","100  a,b"
"6"," Iceland","100  a,b"
"130"," India","80  a"
"116"," Indonesia","73  a"
"60"," Iran (Islamic Republic of)","99  a"
"120"," Iraq","99  a"
"4"," Ireland","100  a,b"
"22"," Israel","100  a,b"
"28"," Italy","100  a,b"
"97"," Jamaica","100  a"
"19"," Japan","100  a,b"
"95"," Jordan","99  a"
"58"," Kazakhstan","100  a"
"142"," Kenya","67  a"
"134"," Kiribati","94  a"
"n.a"," Korea (Democratic People's Rep. of)","100  a"
"122"," Kyrgyzstan","98  a"
"139"," Lao People's Democratic Republic","75  a"
"41"," Latvia","100  a,b"
"80"," Lebanon","100  a"
"159"," Lesotho","43  a"
"181"," Liberia","25  a"
"17"," Liechtenstein","100  a,b"
"35"," Lithuania","100  a,b"
"21"," Luxembourg","100  a,b"
"161"," Madagascar","83  a"
"171"," Malawi","67  a"
"101"," Maldives","93  a"
"182"," Mali","87  a"
"29"," Malta","100  a,b"
"106"," Marshall Islands","96  a"
"159"," Mauritania","66  a"
"74"," Mexico","95  a"
"112"," Moldova (Republic of)","100  a"
"n.a"," Monaco","100  a,b"
"92"," Mongolia","99  a"
"50"," Montenegro","99  a"
"123"," Morocco","94  a"
"180"," Mozambique","48  a"
"148"," Myanmar","81  a"
"129"," Namibia","87  a"
"n.a"," Nauru","83  a"
"149"," Nepal","56  a"
"10"," Netherlands","100  a,b"
"16"," New Zealand","100  a,b"
"124"," Nicaragua","85  a"
"189"," Niger","64  a"
"157"," Nigeria","47  a"
"1"," Norway","100  a,b"
"150"," Pakistan","34  a"
"119"," Palestine, State of","99  a"
"66"," Panama","96  a"
"110"," Paraguay","93  a"
"89"," Peru","98  a"
"113"," Philippines","90  a"
"33"," Poland","100  a"
"41"," Portugal","100  a,b"
"37"," Qatar","100  a"
"49"," Russian Federation","100  a,b"
"158"," Rwanda","56  a"
"90"," Saint Lucia","92  a"
"104"," Samoa","59  a"
"n.a"," San Marino","100  a,b"
"143"," Sao Tome and Principe","95  a"
"164"," Senegal","68  a"
"67"," Serbia","99  a"
"184"," Sierra Leone","77  a"
"38"," Slovakia","100  a,b"
"25"," Slovenia","100  a,b"
"152"," Solomon Islands","88  a"
"n.a"," Somalia","3  a"
"113"," South Africa","85  a"
"187"," South Sudan","35  a"
"26"," Spain","100  a,b"
"76"," Sri Lanka","97  a"
"167"," Sudan","67  a"
"100"," Suriname","99  a"
"7"," Sweden","100  a,b"
"2"," Switzerland","100  a,b"
"155"," Syrian Arab Republic","96  a"
"127"," Tajikistan","88  a"
"154"," Tanzania (United Republic of)","26  a"
"83"," Thailand","100  a"
"80"," The former Yugoslav Republic of Macedonia","100  a"
"132"," Timor-Leste","55  a"
"165"," Togo","78  a"
"98"," Tonga","93  a"
"69"," Trinidad and Tobago","94  a"
"95"," Tunisia","99  a"
"64"," Turkey","99  a"
"108"," Turkmenistan","100  a"
"n.a"," Tuvalu","50  a"
"162"," Uganda","30  a"
"88"," Ukraine","100  a"
"34"," United Arab Emirates","100  a"
"14"," United Kingdom","100  a,b"
"13"," United States","100  a,b"
"55"," Uruguay","100  a"
"105"," Uzbekistan","100  a"
"138"," Vanuatu","43  a"
"78"," Venezuela (Bolivarian Republic of)","81  a"
"116"," Viet Nam","96  a"
"178"," Yemen","31  a"
"144"," Zambia","11  a"
"156"," Zimbabwe","44  a"
"<a name="a"></a>a: Data refer to the most recent year available during the period specified.<br /><a name="a"></a>b: Estimates of 100 percent are assumed given the completeness of the civil registration system, which registers all vital events (including births).<br />"
