"Overall loss in HDI value due to inequality, average annual change (%)"
"HDI Rank","Country","2010/2017"
"68"," Albania","-3.0  a,b"
"147"," Angola","-2.7  a,b"
"47"," Argentina","-3.9  a,b"
"83"," Armenia","-1.2  a,b"
"3"," Australia","0.6  a,b"
"20"," Austria","1.0  a,b"
"80"," Azerbaijan","-3.9  a,b"
"136"," Bangladesh","-2.6  a,b"
"53"," Belarus","-4.3  a,b"
"17"," Belgium","0.5  a,b"
"106"," Belize","-3.2  a,b"
"163"," Benin","0.6  a,b"
"118"," Bolivia (Plurinational State of)","-4.6  a,b"
"77"," Bosnia and Herzegovina","-3.4  a,b"
"79"," Brazil","-1.7  a,b"
"51"," Bulgaria","1.8  a,b"
"183"," Burkina Faso","-1.6  a,b"
"185"," Burundi","-1.4  a,b"
"146"," Cambodia","-4.7  a,b"
"151"," Cameroon","0.1  a,b"
"12"," Canada","-1.1  a,b"
"188"," Central African Republic","0.0  a,b"
"186"," Chad","-0.4  a,b"
"44"," Chile","-2.5  a,b"
"86"," China","-5.3  a,b"
"90"," Colombia","-2.5  a,b"
"165"," Comoros","0.5  a,b"
"137"," Congo","-4.1  a,b"
"176"," Congo (Democratic Republic of the)","-2.3  a,b"
"63"," Costa Rica","-1.8  a,b"
"46"," Croatia","-5.9  a,b"
"32"," Cyprus","-0.1  a,b"
"27"," Czechia","-1.7  a,b"
"170"," Côte d'Ivoire","0.3  a,b"
"11"," Denmark","2.4  a,b"
"172"," Djibouti","-0.6  a,b"
"94"," Dominican Republic","-2.2  a,b"
"86"," Ecuador","-0.3  a,b"
"115"," Egypt","0.9  a,b"
"121"," El Salvador","-2.8  a,b"
"30"," Estonia","-1.4  a,b"
"144"," Eswatini (Kingdom of)","-2.4  a,b"
"173"," Ethiopia","-2.5  a,b"
"15"," Finland","-3.6  a,b"
"24"," France","1.6  a,b"
"110"," Gabon","0.9  a,b"
"174"," Gambia","-0.7  a,b"
"70"," Georgia","-3.7  a,b"
"5"," Germany","0.1  a,b"
"140"," Ghana","2.0  a,b"
"31"," Greece","4.6  a,b"
"127"," Guatemala","-2.3  a,b"
"175"," Guinea","-1.9  a,b"
"177"," Guinea-Bissau","-1.0  a,b"
"125"," Guyana","0.0  a,b"
"168"," Haiti","-0.6  a,b"
"133"," Honduras","-2.3  a,b"
"45"," Hungary","-1.2  a,b"
"6"," Iceland","-1.3  a,b"
"130"," India","-1.4  a,b"
"116"," Indonesia","0.9  a,b"
"4"," Ireland","-0.3  a,b"
"22"," Israel","0.3  a,b"
"28"," Italy","0.3  a,b"
"97"," Jamaica","0.3  a,b"
"95"," Jordan","-2.3  a,b"
"58"," Kazakhstan","-5.9  a,b"
"142"," Kenya","-2.4  a,b"
"22"," Korea (Republic of)","-2.0  a,b"
"122"," Kyrgyzstan","-5.0  a,b"
"139"," Lao People's Democratic Republic","0.7  a,b"
"41"," Latvia","-0.8  a,b"
"159"," Lesotho","-1.3  a,b"
"181"," Liberia","-2.2  a,b"
"35"," Lithuania","0.3  a,b"
"21"," Luxembourg","2.1  a,b"
"161"," Madagascar","-1.6  a,b"
"171"," Malawi","-0.8  a,b"
"101"," Maldives","7.1  a,b"
"182"," Mali","-1.6  a,b"
"159"," Mauritania","-0.9  a,b"
"74"," Mexico","0.2  a,b"
"112"," Moldova (Republic of)","-3.3  a,b"
"92"," Mongolia","-1.4  a,b"
"50"," Montenegro","-1.4  a,b"
"180"," Mozambique","-4.0  a,b"
"129"," Namibia","-3.1  a,b"
"149"," Nepal","-2.8  a,b"
"10"," Netherlands","-0.3  a,b"
"124"," Nicaragua","-1.0  a,b"
"189"," Niger","-2.0  a,b"
"157"," Nigeria","-2.4  a,b"
"1"," Norway","3.0  a,b"
"150"," Pakistan","-0.2  a,b"
"66"," Panama","-3.6  a,b"
"110"," Paraguay","0.5  a,b"
"89"," Peru","-5.3  a,b"
"113"," Philippines","-0.8  a,b"
"33"," Poland","-2.3  a,b"
"41"," Portugal","2.0  a,b"
"52"," Romania","-0.5  a,b"
"49"," Russian Federation","-2.5  a,b"
"158"," Rwanda","-2.7  a,b"
"164"," Senegal","-1.4  a,b"
"67"," Serbia","5.9  a,b"
"184"," Sierra Leone","-1.0  a,b"
"38"," Slovakia","0.2  a,b"
"25"," Slovenia","-2.6  a,b"
"113"," South Africa","1.0  a,b"
"26"," Spain","8.2  a,b"
"76"," Sri Lanka","-2.7  a,b"
"100"," Suriname","-1.0  a,b"
"7"," Sweden","1.2  a,b"
"2"," Switzerland","1.5  a,b"
"127"," Tajikistan","-4.1  a,b"
"154"," Tanzania (United Republic of)","-1.8  a,b"
"83"," Thailand","-3.7  a,b"
"80"," The former Yugoslav Republic of Macedonia","-3.5  a,b"
"132"," Timor-Leste","-2.4  a,b"
"165"," Togo","-0.5  a,b"
"95"," Tunisia","-1.8  a,b"
"64"," Turkey","-4.9  a,b"
"108"," Turkmenistan","-4.3  a,b"
"162"," Uganda","-1.7  a,b"
"88"," Ukraine","-2.8  a,b"
"14"," United Kingdom","-0.5  a,b"
"13"," United States","3.0  a,b"
"55"," Uruguay","-1.6  a,b"
"78"," Venezuela (Bolivarian Republic of)","-3.2  a,b"
"116"," Viet Nam","0.8  a,b"
"178"," Yemen","-1.0  a,b"
"144"," Zambia","1.2  a,b"
"<a name="a"></a>a: The trend data used to calculate the change are available at http://hdr.undp.org/en/data.<br /><a name="a"></a>b: A negative value indicates that inequality declined over the period specified.<br />"
