"Income quintile ratio, average annual change (%)"
"HDI Rank","Country","2005/2017"
"68"," Albania","-0.8  a,b"
"47"," Argentina","-3.1  a,b"
"83"," Armenia","-0.7  a,b"
"3"," Australia","0.4  a,b"
"20"," Austria","1.3  a,b"
"80"," Azerbaijan","0.0  a,b"
"136"," Bangladesh","-0.0  a,b"
"53"," Belarus","-0.6  a,b"
"17"," Belgium","-0.3  a,b"
"163"," Benin","13.3  a,b"
"134"," Bhutan","-2.7  a,b"
"118"," Bolivia (Plurinational State of)","-5.4  a,b"
"77"," Bosnia and Herzegovina","-0.6  a,b"
"101"," Botswana","-2.1  a,b"
"79"," Brazil","-2.3  a,b"
"183"," Burkina Faso","-3.4  a,b"
"125"," Cabo Verde","-2.1  a,b"
"151"," Cameroon","4.1  a,b"
"12"," Canada","0.5  a,b"
"188"," Central African Republic","8.6  a,b"
"186"," Chad","3.2  a,b"
"44"," Chile","-1.9  a,b"
"90"," Colombia","-1.1  a,b"
"165"," Comoros","-2.5  a,b"
"137"," Congo","1.6  a,b"
"176"," Congo (Democratic Republic of the)","0.3  a,b"
"63"," Costa Rica","0.2  a,b"
"32"," Cyprus","1.9  a,b"
"27"," Czechia","-0.6  a,b"
"170"," Côte d'Ivoire","0.5  a,b"
"11"," Denmark","1.1  a,b"
"172"," Djibouti","2.9  a,b"
"94"," Dominican Republic","-2.0  a,b"
"86"," Ecuador","-3.7  a,b"
"115"," Egypt","-0.1  a,b"
"121"," El Salvador","-4.0  a,b"
"30"," Estonia","-0.3  a,b"
"144"," Eswatini (Kingdom of)","0.7  a,b"
"173"," Ethiopia","6.3  a,b"
"92"," Fiji","-1.3  a,b"
"15"," Finland","-0.0  a,b"
"24"," France","1.4  a,b"
"110"," Gabon","0.0  a,b"
"174"," Gambia","-4.2  a,b"
"70"," Georgia","-0.8  a,b"
"5"," Germany","1.0  a,b"
"140"," Ghana","-0.4  a,b"
"31"," Greece","1.6  a,b"
"127"," Guatemala","-2.7  a,b"
"175"," Guinea","-3.3  a,b"
"177"," Guinea-Bissau","10.0  a,b"
"133"," Honduras","-4.4  a,b"
"45"," Hungary","-1.6  a,b"
"6"," Iceland","-1.2  a,b"
"60"," Iran (Islamic Republic of)","-2.1  a,b"
"4"," Ireland","-0.6  a,b"
"22"," Israel","0.3  a,b"
"28"," Italy","1.0  a,b"
"95"," Jordan","-1.6  a,b"
"58"," Kazakhstan","-4.8  a,b"
"142"," Kenya","0.0  a,b"
"122"," Kyrgyzstan","-2.2  a,b"
"139"," Lao People's Democratic Republic","1.9  a,b"
"41"," Latvia","-2.2  a,b"
"159"," Lesotho","1.1  a,b"
"35"," Lithuania","0.8  a,b"
"21"," Luxembourg","0.3  a,b"
"161"," Madagascar","2.0  a,b"
"171"," Malawi","3.3  a,b"
"57"," Malaysia","0.2  a,b"
"101"," Maldives","-0.2  a,b"
"182"," Mali","-2.7  a,b"
"159"," Mauritania","-2.4  a,b"
"74"," Mexico","-2.6  a,b"
"131"," Micronesia (Federated States of)","-0.3  a,b"
"112"," Moldova (Republic of)","-3.8  a,b"
"92"," Mongolia","-0.5  a,b"
"50"," Montenegro","0.3  a,b"
"123"," Morocco","0.0  a,b"
"180"," Mozambique","3.9  a,b"
"129"," Namibia","-1.1  a,b"
"149"," Nepal","-3.3  a,b"
"10"," Netherlands","0.0  a,b"
"124"," Nicaragua","-0.9  a,b"
"189"," Niger","-3.5  a,b"
"157"," Nigeria","1.1  a,b"
"1"," Norway","-0.7  a,b"
"150"," Pakistan","-0.6  a,b"
"119"," Palestine, State of","-0.4  a,b"
"66"," Panama","-2.0  a,b"
"110"," Paraguay","-1.7  a,b"
"89"," Peru","-3.0  a,b"
"113"," Philippines","-0.6  a,b"
"33"," Poland","-1.1  a,b"
"41"," Portugal","-0.7  a,b"
"52"," Romania","-0.5  a,b"
"49"," Russian Federation","-1.8  a,b"
"158"," Rwanda","-1.3  a,b"
"143"," Sao Tome and Principe","-0.7  a,b"
"164"," Senegal","0.4  a,b"
"67"," Serbia","-3.1  a,b"
"184"," Sierra Leone","-2.4  a,b"
"38"," Slovakia","-0.6  a,b"
"25"," Slovenia","0.4  a,b"
"152"," Solomon Islands","-3.5  a,b"
"113"," South Africa","0.4  a,b"
"26"," Spain","2.6  a,b"
"76"," Sri Lanka","-0.4  a,b"
"7"," Sweden","1.1  a,b"
"127"," Tajikistan","0.4  a,b"
"154"," Tanzania (United Republic of)","-0.5  a,b"
"83"," Thailand","-1.7  a,b"
"132"," Timor-Leste","-2.9  a,b"
"98"," Tonga","-0.6  a,b"
"95"," Tunisia","-0.8  a,b"
"64"," Turkey","-0.8  a,b"
"162"," Uganda","-0.7  a,b"
"88"," Ukraine","-1.8  a,b"
"14"," United Kingdom","-0.9  a,b"
"13"," United States","0.5  a,b"
"78"," Venezuela (Bolivarian Republic of)","-5.1  a,b"
"116"," Viet Nam","-0.3  a,b"
"178"," Yemen","1.1  a,b"
"144"," Zambia","2.3  a,b"
"<a name="a"></a>a: The trend data used to calculate the change are available at http://hdr.undp.org/en/data.<br /><a name="a"></a>b: A negative value indicates that inequality declined over the period specified.<br />"
