Country,2000,2005,2010,2015
Afghanistan,2.3,2.6,2.8,3.1
Albania,3.1,3.6,2.8,2.4
Algeria,2.3,2.1,1.4,1.3
Angola,12.0,13.3,14.3,14.3
Antigua and Barbuda,0.1,0.0,0.0,0.0
Argentina,5.0,4.5,4.6,4.8
Armenia,1.7,1.5,1.8,1.8
Australia,5.2,4.9,5.1,5.6
Austria,7.8,6.3,5.4,5.3
Azerbaijan,1.0,1.4,1.3,1.1
Bahamas,1.0,0.2,1.2,0.4
Bahrain,3.5,3.4,3.1,2.9
Bangladesh,8.6,9.2,8.3,6.6
Barbados,0.6,0.3,0.3,0.1
Belarus,10.1,9.5,7.2,5.4
Belgium,10.4,8.7,9.1,9.1
Belize,2.5,1.3,2.4,2.0
Benin,7.9,8.2,8.3,8.4
Bhutan,13.7,11.7,10.5,9.9
Bolivia (Plurinational State of),19.2,18.5,16.4,14.4
Bosnia and Herzegovina,3.5,2.6,2.0,1.9
Botswana,7.7,7.7,6.9,6.2
Brazil,2.2,2.6,2.7,2.7
Brunei Darussalam,0.9,1.1,0.3,1.3
Bulgaria,7.8,5.6,4.9,4.8
Burkina Faso,8.5,8.8,9.4,10.1
Burundi,6.2,6.9,7.0,6.3
Cabo Verde,8.9,7.8,7.9,7.0
Cambodia,10.5,9.1,8.7,8.5
Cameroon,7.7,8.1,8.6,8.5
Canada,5.1,5.5,5.8,5.6
Central African Republic,7.8,8.9,10.1,9.3
Chad,6.6,7.0,7.4,7.9
Chile,3.1,3.3,4.2,3.3
China,12.7,10.9,10.0,9.5
Colombia,2.7,2.4,2.2,2.1
Comoros,7.9,8.9,8.5,8.0
Congo,8.5,8.8,7.0,6.1
Congo (Democratic Republic of the),7.7,7.2,7.1,7.3
Costa Rica,1.8,2.3,2.2,2.0
Croatia,6.9,7.1,6.0,5.7
Cuba,8.6,5.6,4.8,4.2
Cyprus,1.2,1.1,2.0,1.0
Czechia,5.2,4.4,3.8,3.9
Côte d'Ivoire,10.7,12.4,13.5,14.4
Denmark,6.3,6.1,4.9,4.7
Djibouti,7.9,7.3,6.4,6.5
Dominican Republic,2.7,3.0,2.4,2.6
Ecuador,3.7,4.7,4.5,3.7
Egypt,2.4,2.2,1.9,1.8
El Salvador,7.5,6.1,5.0,4.4
Equatorial Guinea,12.8,13.4,13.7,13.2
Eritrea,8.0,7.1,5.9,5.4
Estonia,9.8,6.0,4.7,4.8
Eswatini (Kingdom of),11.7,9.9,9.8,9.6
Ethiopia,6.0,5.4,5.6,5.6
Fiji,5.7,5.4,4.8,4.3
Finland,10.4,9.0,7.8,7.2
France,8.3,7.9,7.2,5.9
Gabon,7.0,6.8,7.3,7.0
Gambia,8.7,8.1,7.6,7.7
Georgia,1.7,1.5,1.5,1.5
Germany,5.2,4.7,4.5,4.5
Ghana,3.6,3.7,3.9,3.9
Greece,1.3,1.3,1.2,1.2
Grenada,0.8,0.7,0.0,0.5
Guatemala,1.6,1.6,1.4,1.5
Guinea,6.9,6.9,7.1,7.5
Guinea-Bissau,7.6,6.9,6.2,5.8
Guyana,11.7,13.3,14.4,15.5
Haiti,4.8,4.4,5.1,6.0
Honduras,2.2,2.9,2.9,2.6
Hungary,10.6,8.1,7.5,6.9
Iceland,5.7,7.1,5.1,6.3
India,16.8,16.6,16.0,14.2
Indonesia,1.9,1.9,1.9,1.6
Iran (Islamic Republic of),7.8,6.4,3.9,2.9
Iraq,2.9,2.8,3.0,3.5
Ireland,4.3,4.3,4.8,4.2
Israel,2.9,3.7,2.4,2.3
Italy,2.8,2.4,2.1,2.2
Jamaica,0.1,0.9,0.2,0.3
Japan,9.8,10.0,10.4,9.2
Jordan,2.8,2.4,2.5,2.4
Kazakhstan,12.4,9.1,9.0,9.6
Kenya,4.5,4.6,4.6,4.5
Kiribati,7.8,7.4,7.2,6.6
Korea (Democratic People's Rep. of),16.3,20.2,18.3,14.3
Korea (Republic of),8.5,15.4,18.4,13.4
Kuwait,1.9,1.8,2.1,2.1
Kyrgyzstan,5.0,4.0,4.0,3.4
Lao People's Democratic Republic,12.2,11.5,10.8,9.9
Latvia,9.9,6.9,4.2,4.8
Lebanon,2.3,2.1,1.9,2.0
Lesotho,9.8,8.7,8.6,8.2
Liberia,5.4,5.2,4.7,4.9
Libya,4.1,3.5,3.2,2.8
Lithuania,15.3,10.4,8.5,8.1
Luxembourg,7.4,5.2,4.5,5.2
Madagascar,5.0,4.7,4.5,3.9
Malawi,4.8,3.9,4.3,4.8
Malaysia,4.8,4.1,3.7,3.4
Maldives,23.4,15.2,11.4,8.9
Mali,6.3,6.5,6.7,6.7
Malta,2.4,2.1,1.3,2.0
Mauritania,4.9,5.2,5.6,5.7
Mauritius,5.3,4.0,3.6,3.7
Mexico,1.1,1.4,1.6,2.1
Micronesia (Federated States of),8.1,7.9,7.1,6.7
Moldova (Republic of),4.2,5.4,5.3,3.9
Mongolia,13.0,10.7,11.3,9.2
Montenegro,5.8,5.8,5.2,5.3
Morocco,6.5,5.3,4.0,3.5
Mozambique,7.5,6.9,6.8,6.7
Myanmar,2.8,3.0,3.1,3.3
Namibia,6.5,5.6,5.8,5.5
Nepal,10.0,8.7,7.3,6.2
Netherlands,5.2,5.1,4.7,6.0
New Zealand,4.4,6.0,6.7,6.3
Nicaragua,6.9,6.2,4.6,4.2
Niger,6.0,6.6,6.3,5.5
Nigeria,9.4,9.1,9.5,9.9
Norway,5.8,7.1,6.2,5.7
Oman,2.0,1.4,1.4,1.3
Pakistan,2.8,2.6,2.6,2.4
Panama,1.6,2.0,1.5,1.1
Papua New Guinea,6.6,5.2,4.8,5.9
Paraguay,6.6,6.7,6.2,6.1
Peru,3.8,3.7,3.2,2.9
Philippines,1.8,1.7,2.0,1.9
Poland,5.5,5.0,4.8,4.9
Portugal,2.1,3.4,4.1,3.7
Qatar,1.2,1.1,1.2,1.2
Romania,3.8,3.2,3.6,2.5
Russian Federation,10.0,8.8,7.0,5.6
Rwanda,3.8,4.2,3.9,3.5
Saint Lucia,3.6,0.0,2.1,1.6
Saint Vincent and the Grenadines,0.7,3.1,0.8,0.4
Samoa,5.1,3.9,3.1,2.8
Sao Tome and Principe,1.6,1.6,1.7,1.7
Saudi Arabia,1.6,1.8,2.2,2.2
Senegal,7.1,7.2,6.5,5.2
Serbia,8.6,7.7,5.3,5.5
Seychelles,2.0,2.0,1.9,1.9
Sierra Leone,17.1,14.4,14.1,14.7
Singapore,8.0,6.8,6.5,5.5
Slovakia,4.3,3.1,3.1,2.5
Slovenia,12.7,8.3,5.1,6.0
Solomon Islands,8.0,5.4,5.4,5.0
Somalia,5.0,4.8,4.7,4.8
South Africa,6.5,5.8,5.2,5.1
South Sudan,6.3,6.1,5.9,5.4
Spain,2.9,2.7,2.2,2.9
Sri Lanka,17.9,14.8,11.7,13.3
Sudan,6.5,6.7,6.8,6.3
Suriname,12.0,10.9,12.8,12.6
Sweden,7.4,8.2,6.7,7.6
Switzerland,8.9,8.4,6.2,6.0
Syrian Arab Republic,0.9,0.9,1.2,1.2
Tajikistan,2.5,2.3,2.3,2.5
Tanzania (United Republic of),6.2,5.7,5.7,5.8
Thailand,7.7,7.7,8.1,7.7
The former Yugoslav Republic of Macedonia,4.3,3.6,2.8,3.1
Timor-Leste,10.1,7.1,6.1,5.6
Togo,8.8,8.8,8.8,8.7
Tonga,4.0,3.6,3.4,3.3
Trinidad and Tobago,5.2,4.1,5.2,4.5
Tunisia,4.3,4.0,4.1,4.1
Turkey,8.0,6.1,5.6,4.7
Turkmenistan,3.8,4.6,4.6,5.2
Uganda,7.6,6.9,7.4,7.6
Ukraine,9.8,6.2,5.8,6.2
United Arab Emirates,2.1,1.5,1.1,0.9
United Kingdom,3.6,3.4,3.1,3.2
United States,3.9,4.5,5.0,5.8
Uruguay,5.1,6.0,6.4,6.3
Uzbekistan,4.4,3.0,3.8,5.2
Vanuatu,5.7,4.5,3.7,3.3
Venezuela (Bolivarian Republic of),2.0,1.9,1.4,1.1
Viet Nam,3.7,3.3,3.4,3.4
Yemen,5.9,6.2,6.4,6.2
Zambia,6.2,5.2,5.2,5.0
Zimbabwe,11.1,10.0,10.2,10.3
