Country,2007/2017
Afghanistan,227.0
Albania,7.0
Algeria,6.0
Angola,364.0
Antigua and Barbuda,1316.0
Argentina,15.0
Armenia,0.0
Australia,30.0
Austria,0.0
Azerbaijan,68.0
Bahamas,0.0
Bahrain,0.0
Bangladesh,131.0
Barbados,0.0
Belarus,0.0
Belgium,0.0
Belize,0.0
Benin,1431.0
Bhutan,0.0
Bolivia (Plurinational State of),45.0
Bosnia and Herzegovina,0.0
Botswana,0.0
Brazil,76.0
Brunei Darussalam,0.0
Bulgaria,16.0
Burkina Faso,330.0
Burundi,396.0
Cabo Verde,0.0
Cambodia,356.0
Cameroon,199.0
Canada,18.0
Central African Republic,433.0
Chad,87.0
Chile,4515.0
China,150.0
Colombia,31.0
Comoros,0.0
Congo,246.0
Congo (Democratic Republic of the),31.0
Costa Rica,0.0
Croatia,0.0
Cuba,1299.0
Cyprus,0.0
Czechia,0.0
Côte d'Ivoire,42.0
Denmark,0.0
Djibouti,0.0
Dominica,844.0
Dominican Republic,125.0
Ecuador,86.0
Egypt,1.0
El Salvador,261.0
Equatorial Guinea,0.0
Eritrea,0.0
Estonia,0.0
Eswatini (Kingdom of),0.0
Ethiopia,2.0
Fiji,0.0
Finland,0.0
France,1.0
Gabon,41.0
Gambia,20.0
Georgia,132.0
Germany,0.0
Ghana,18.0
Greece,33.0
Grenada,0.0
Guatemala,368.0
Guinea,32.0
Guinea-Bissau,41.0
Guyana,0.0
Haiti,869.0
Honduras,106.0
"Hong Kong, China (SAR)",0.0
Hungary,0.0
Iceland,0.0
India,461.0
Indonesia,32.0
Iran (Islamic Republic of),27.0
Iraq,7.0
Ireland,0.0
Israel,0.0
Italy,116.0
Jamaica,38.0
Japan,46.0
Jordan,0.0
Kazakhstan,47.0
Kenya,12.0
Kiribati,73.0
Korea (Democratic People's Rep. of),929.0
Korea (Republic of),5.0
Kuwait,0.0
Kyrgyzstan,104.0
Lao People's Democratic Republic,1.0
Latvia,0.0
Lebanon,0.0
Lesotho,113.0
Liberia,84.0
Libya,0.0
Lithuania,0.0
Luxembourg,0.0
Madagascar,1819.0
Malawi,148.0
Malaysia,90.0
Maldives,0.0
Mali,276.0
Marshall Islands,0.0
Mauritania,54.0
Mauritius,0.0
Mexico,60.0
Micronesia (Federated States of),0.0
Moldova (Republic of),0.0
Mongolia,0.0
Montenegro,0.0
Morocco,0.0
Mozambique,245.0
Myanmar,37.0
Namibia,0.0
Nepal,14.0
Netherlands,0.0
New Zealand,6.0
Nicaragua,2.0
Niger,192.0
Nigeria,7.0
Norway,0.0
Oman,0.0
Pakistan,72.0
Palau,5457.0
"Palestine, State of",11.0
Panama,0.0
Papua New Guinea,0.0
Paraguay,28.0
Peru,187.0
Philippines,138.0
Poland,0.0
Portugal,28.0
Romania,0.0
Russian Federation,9.0
Rwanda,83.0
Saint Kitts and Nevis,0.0
Saint Lucia,0.0
Saint Vincent and the Grenadines,499.0
Samoa,0.0
Sao Tome and Principe,0.0
Saudi Arabia,31.0
Senegal,0.0
Serbia,15.0
Seychelles,0.0
Sierra Leone,30.0
Singapore,0.0
Slovakia,0.0
Slovenia,46.0
Solomon Islands,163.0
Somalia,158.0
South Africa,25.0
South Sudan,0.0
Spain,29.0
Sri Lanka,5321.0
Sudan,869.0
Suriname,0.0
Sweden,0.0
Switzerland,0.0
Syrian Arab Republic,0.0
Tajikistan,19.0
Tanzania (United Republic of),51.0
Thailand,24.0
The former Yugoslav Republic of Macedonia,0.0
Timor-Leste,156.0
Togo,177.0
Tonga,0.0
Trinidad and Tobago,0.0
Tunisia,0.0
Turkey,41.0
Turkmenistan,0.0
Tuvalu,0.0
Uganda,718.0
Ukraine,7.0
United Arab Emirates,0.0
United Kingdom,43.0
United States,51.0
Uruguay,268.0
Uzbekistan,0.0
Vanuatu,0.0
Venezuela (Bolivarian Republic of),6.0
Viet Nam,480.0
Yemen,4.0
Zambia,124.0
Zimbabwe,82.0
