[Dimension] Attribute,2010,2011,2012,2013,2014,2015,2016
[Demography] Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),0.9832082279069001,1.048953645684565,1.1739071627315862,0.9102401524359495,1.8431866291883152,0.5773034619136341,0.6636150492760895
"[Demography] Population, ages 15–64 (millions)",0.9285638783236051,0.6432885153910648,0.9588438753939148,0.8064492060190226,0.6446728082255127,1.3680241116640386,1.110051934559085
"[Demography] Population, ages 65 and older (millions)",0.7347470953475063,1.0305733173330474,1.2245252337510262,0.7338919809591237,0.8920699593296474,1.4381616651113203,1.0872192546556039
"[Demography] Population, total (millions)",1.0645516614188972,0.580212546355489,1.5246126375185258,1.4254917097190691,1.318571087434613,1.2903759528271512,1.1535394365738765
"[Demography] Population, under age 5 (millions)",0.9931196840285612,0.8890700196402992,0.5983880632402395,0.8440813882075442,0.5670605532709195,0.733221521469606,0.7212913580506608
"[Demography] Population, urban (%)",0.44370132403572843,0.5262889985034362,0.4029777033364067,0.5305298780566048,0.41221772302695747,0.4527224582459563,0.5353803408370892
[Demography] Young age (0-14) dependency ratio (per 100 people ages 15-64),1.2327054733855687,2.1868535914121177,1.6077490668900025,1.4270789439630673,1.7711652743858348,2.0865440037052716,1.314923097421869
[Education] Education Index,2.065522287018382,1.3195464789824398,2.101357403764322,2.1475316949012693,1.7567291059201577,1.960915710587293,2.0042756354343823
[Education] Expected years of schooling (years),0.7590926029410718,0.3918764418053271,2.359613904569947,2.096080803556352,3.907500966326823,2.9014475112753058,2.996003366305394
"[Education] Expected years of schooling, female (years)",1.0208720600555672,1.1696037022781745,1.5712318374178573,0.9366196674995911,0.8645573282841216,0.8218582858215261,0.8967725695729123
"[Education] Expected years of schooling, male (years)",2.3511474557623195,3.822582894738321,2.294836955775628,1.733279058488112,0.6050477378379832,1.309806932963058,1.0410797071623412
[Education] Government expenditure on education (% of GDP),0.28404440632318084,0.4430498572475931,0.6225052511914341,0.6436485196702577,0.7341125281838763,0.24341187128551414,0.44341837098179687
"[Education] Gross enrolment ratio, pre-primary (% of preschool-age children)",0.2876408219534214,0.3697496294457692,0.4463047143788568,0.34807700922010876,0.7356260609340105,0.5132335267659208,0.5093044811728251
"[Education] Gross enrolment ratio, primary (% of primary school-age population)",0.31182197498329234,0.4373716574915741,0.2838882547116234,0.5074437175123334,0.742707037998215,0.46957889707000355,0.7721648827155819
"[Education] Gross enrolment ratio, secondary (% of secondary school-age population)",0.375711318416251,1.1218564533154136,0.6300822987367772,0.5376609052066912,0.5954494828781379,0.9284729411479193,0.38928606469515314
"[Education] Gross enrolment ratio, tertiary (% of tertiary school-age population)",0.7292783833105357,0.6728312203287535,0.7764440484152912,0.5051817770470105,0.506504856643874,0.3646505117919975,0.5159662804416056
"[Education] Literacy rate, adult (% ages 15 and older)",0.9299900094918832,1.3329698528546465,0.5620843494984423,0.7958006873097145,0.6148880589339911,0.8370921098263278,0.9015326470948324
[Education] Mean years of schooling (years),3.0321542796120045,3.01502538096847,2.733529357495835,2.732298608507901,1.7077582689944817,1.9135522390708763,1.3714114357847065
"[Education] Mean years of schooling, female (years)",1.4475277993407591,1.4655513546377203,0.7627267761798066,0.6494650149071971,0.9984386592108211,0.9646435946558963,0.94590000142959
"[Education] Mean years of schooling, male (years)",1.2548487269682698,1.2760179906994673,0.77406116351699,0.8485574521797151,1.7315915735419378,0.9334195964854429,0.6132866340647556
[Education] Population with at least some secondary education (% ages 25 and older),0.576380861219298,1.527282685962536,0.7366932363146045,0.8982497467233644,0.6509965829105483,0.5912454507382726,1.5497203938463502
"[Education] Population with at least some secondary education, female (% ages 25 and older)",0.6504991968613663,1.3693029402217325,1.1579280134590804,0.8885612351032036,1.3282611526138794,0.9758940346471033,0.882088875052119
"[Education] Population with at least some secondary education, male (% ages 25 and older)",1.2037149497567687,0.7623670066274085,0.8643505313071321,0.9174997332565903,1.2682127055691241,0.939410475268076,0.848609412014266
[Education] Primary school dropout rate (% of primary school cohort),0.4982892100831823,0.7590957227204029,0.7217792067002284,0.7912321081153096,0.9073781541825819,0.4687414449022948,1.130277105254538
[Education] Primary school teachers trained to teach (%),0.43564092080146866,0.3157707308403645,0.3556298739156656,0.3087320949143123,0.39539367850089147,0.2829563610909222,0.4245487345295841
"[Education] Pupil-teacher ratio, primary school (number of pupils per teacher)",0.40889987837890535,0.509442170900492,0.9669833899465303,0.5058144599947113,0.44274037179228165,0.7454712104976163,0.4662492806666338
[Education] Survival rate to the last grade of lower secondary general education (%),0.47118124890443336,0.2089641709707512,0.40731170416649476,0.6712314721603708,0.6259847151058833,0.2513960105467994,0.8893468964956134
[Environmental Sustainability] Fresh water withdrawals (% of total renewable water resources),1.1766283093220524,1.5580628741533462,0.6391595403848902,1.492476591874923,1.2303458495891535,1.5435115470792162,1.5029378436287553
"[Gender] Adolescent birth rate (births per 1,000 women ages 15-19)",0.6355925968685184,0.337006669162208,0.38753633057738723,0.589794262734054,0.8225843355179497,0.5800910340598491,0.5755361876630014
"[Gender] Antenatal care coverage, at least one visit (%)",1.0559066572593205,0.7494154789733254,0.5702309645017657,1.036623459538442,1.321555552868492,0.7384636423600961,2.1535123162580527
"[Gender] Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)",0.4223496128574249,0.591813003404302,0.5681023655596122,0.8187591827481862,0.7000453932846159,0.5666624422891219,0.6247830409826186
"[Gender] Estimated gross national income per capita, female (2011 PPP$)",4.906166067681046,4.68940036167659,4.685759761296486,6.2783729556528405,4.564678993693263,6.591077388446935,6.12636544555198
"[Gender] Estimated gross national income per capita, male (2011 PPP$)",1.7046141253287268,1.8704190622604004,1.525719119517662,1.722012886416404,1.056017415948646,1.442685024386401,1.2480655101724725
[Gender] Female share of employment in senior and middle management (%),1.1111186337728005,0.39380224841059724,0.30924553713679087,0.5387883430354621,0.39280118960069393,0.9260735244557559,0.5201003946786451
[Gender] Gender Development Index (GDI),0.9236421498920667,0.4029022385820144,1.2723416637259788,0.8348495705179223,0.5473373685855587,0.9785166813157072,0.6806791759994173
[Gender] Gender Inequality Index (GII),0.4101398187893226,0.5662683257603314,0.7649787622942278,0.5323579430686641,0.5716988731519704,0.47926959972335803,0.8712160088314458
"[Gender] Human Development Index (HDI), female",1.9202093622712528,1.451087737472106,1.1700522190548968,1.003210416874043,0.7592331719063751,1.0070156429242054,0.7031879037341212
"[Gender] Human Development Index (HDI), male",0.5865282195113398,0.9904673337415558,1.0992783067128764,2.143449364919426,1.2687402572811193,1.215432309695976,1.6215191337795205
[Gender] Proportion of births attended by skilled health personnel (%),0.37516665881400896,0.8568511205179976,0.9634839378599165,0.8825388734777059,0.6963466114294358,0.559192832619943,0.39415781088765667
"[Gender] Share of employment in nonagriculture, female (% of total employment in nonagriculture)",0.8536503537259469,1.1439861041901545,1.263901604494943,1.0505557412509405,1.4072712649302692,0.8953229822241239,0.69977538657654
[Gender] Share of seats in parliament (% held by women),0.5155138927092288,0.8730992817734278,0.6278754150605591,0.44103369994254293,0.5907834833990361,0.5804647560460587,0.7700472296534905
[Gender] Total unemployment rate (female to male ratio),1.0251121478739909,0.37758129817942143,1.14725802853363,1.567105419863755,1.9622739562753222,0.8075812245197257,1.0550495169208147
"[Gender] Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",0.5985601989628916,1.0994863054770665,0.4874342865642031,1.0018742791613633,0.5368015085240028,0.6106572059683415,0.7974153840726318
[Gender] Youth unemployment rate (female to male ratio),0.5923466072417485,0.6136508760549255,0.43668372082035223,0.5319964048613871,0.7123994853950802,0.31676540712213824,0.573294749633266
"[Health] HIV prevalence, adult (% ages 15-49), total",0.6596891119449012,1.2276676123548833,0.979830211553329,1.0021264222339228,1.1247254581943358,0.4804796302647344,0.38033374264460656
"[Health] Infants lacking immunization, DTP (% of one-year-olds)",1.0010539291598735,0.2020980368114538,0.7309790877645409,1.3894919779402886,0.6327235192333895,0.8680291322946658,0.37464364439542347
"[Health] Infants lacking immunization, measles (% of one-year-olds)",0.1857115753505497,0.7833125843006581,0.5012258935093011,0.7448749646352624,0.8297782616335825,0.45196095900887173,0.5242208218174471
[Health] Life expectancy Index,2.8645804317502654,2.434868632244457,1.9061679065575563,1.4927830827819284,2.6719028898486545,1.2380337004575432,1.9713964080182913
[Health] Life expectancy at birth (years),2.658681355053611,1.8999207811230663,1.7298818771331677,1.5422323792737105,1.6860380069397287,1.534753894548176,0.8840949644641447
"[Health] Life expectancy at birth, female (years)",1.1933184309816418,2.150581196264404,1.1914149188293806,1.2470174961404712,1.1517963426462134,1.2372527443314085,1.1689223593392164
"[Health] Life expectancy at birth, male (years)",1.306627955446354,1.895679943318907,1.2701219139107935,1.876058842263928,0.989428847331502,3.3994815866808032,2.392527228676199
"[Health] Mortality rate, female adult (per 1,000 people)",0.9785360780314896,0.881084073200234,0.953428362691568,0.8602042664286493,0.829132568664156,0.6582496960838022,0.9128457013926234
"[Health] Mortality rate, infant (per 1,000 live births)",1.5715178639499017,1.4237618814367863,1.1577204936983108,1.6639126353833122,1.1295061890425488,1.9584629381497514,1.5495465118137715
"[Health] Mortality rate, male adult (per 1,000 people)",1.3294467694876138,1.4209347556573397,3.048827562322966,2.4993287572980303,1.3524047423925232,0.8252044918253398,1.2181621624524304
"[Health] Mortality rate, under-five (per 1,000 live births)",0.9866797255839768,1.0474257754115595,1.1191566195747655,1.716099760664954,0.506565737596783,1.0394470051957083,1.726134293618406
"[Health] Tuberculosis incidence (per 100,000 people)",0.5155112257343456,0.40258806135386443,0.22592171550101892,0.33889267443162346,0.3268680511716198,0.4865660701111075,0.3814594887835248
"[Human Security] Homicide rate (per 100,000 people)",0.6790485313474764,0.1692800504658654,0.7241374902375699,0.38305381181552656,0.8661929988255754,0.5617073751382823,0.3998922357812017
[Income_composition of resources] Domestic credit provided by financial sector (% of GDP),0.5202114175934983,1.2752660179405992,1.0123936553551642,0.7560750905624138,1.0729246038996174,0.9033106487705522,1.2967334758982045
[Income_composition of resources] Gross domestic product (GDP) per capita (2011 PPP $),2.2882974510095715,1.9695479883430556,0.8048920752104826,1.399241551698329,0.5208568579385623,1.0780779289755567,1.3834214150110051
"[Income_composition of resources] Gross domestic product (GDP), total (2011 PPP $ billions)",1.435134476709965,0.555029440603053,1.1386672687300636,1.5170535337170947,1.116242030155426,1.96882807345324,1.0853801802197742
[Income_composition of resources] Gross fixed capital formation (% of GDP),1.1878908689381575,0.8885904215938578,0.7215764525348125,1.104700220635884,0.8296708716447209,1.0491946590968244,1.3672135005801769
[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),3.847735049856344,6.224584451211566,5.791775676499839,3.867339615098057,4.4870913300282265,4.268078613811294,4.075092938096821
[Income_composition of resources] Income Index,0.6857771813326683,0.4207313482857192,1.6938940867828975,1.4058215180856874,0.6570819096232275,0.9882864777514933,0.6483449431438819
[Inequality] Coefficient of Human Inequality,1.299944143209235,1.2060467205408836,1.1141671257745416,0.8673820575339343,1.627296053621819,0.9011239955341283,1.1320292333447557
[Inequality] Inequality in education (%),1.565701660633258,1.0714617631534327,1.0535652747903206,0.6215421490414484,0.89797975105046,0.6028071279855985,0.8027536805541817
[Inequality] Inequality in income (%),0.46167946804333837,0.44497281915783476,0.7244539381408981,0.3445075756079336,0.4987169628129876,0.5247527431889905,0.9821294802536665
[Inequality] Inequality in life expectancy (%),0.957302500335783,1.356918634891276,0.7576143060426347,0.8477102877576784,1.1879308391501104,0.8856767764772174,0.9974762588587861
[Inequality] Inequality-adjusted HDI (IHDI),0.46049028187468777,1.0043016014926496,1.2457166466299612,0.893111442391162,1.1611005762212743,1.2108762250017198,1.3002082084626672
[Inequality] Inequality-adjusted education index,1.6143226722517643,1.4947775661362173,1.7004825460280562,1.476114620279132,0.9164531718984187,1.07010039376571,0.865500732237986
[Inequality] Inequality-adjusted income index,1.7029075168358423,0.9976900623233392,1.2015037765412895,1.0975526989503401,0.9954642498457628,0.9473734819790863,0.7021788011861366
[Inequality] Inequality-adjusted life expectancy index,1.1190433984869157,0.8570806879790194,1.1729252665190604,1.3073921589472748,1.4153614072329985,1.5834336571961514,1.5589339754672689
