[Dimension] Attribute,2010,2011,2012,2013,2014,2015,2016
[Demography] Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),0.30687184114310867,0.3927980422900097,0.4129226966744717,0.2731514670451713,0.49348422757065025,0.19873198256362185,0.2289432479441277
"[Demography] Population, ages 15–64 (millions)",0.32005280703957584,0.37423877609588285,0.3071385975307537,0.3184553256325651,0.27344471408249327,0.41756374816527303,0.4737406805616849
"[Demography] Population, ages 65 and older (millions)",0.28563034249323904,0.298102723006885,0.39962807094110664,0.1800661905786039,0.38922852174894146,0.4414900410081787,0.44690924283291833
"[Demography] Population, total (millions)",0.33094106619956937,0.2584238372337902,0.31135472999214886,0.3687449736404755,0.2446540165010107,0.4258301350049022,0.5170536373615143
"[Demography] Population, under age 5 (millions)",0.15097018433342296,0.3068104428974546,0.20648166582339864,0.23012755871680757,0.19357987808940802,0.17047194101046576,0.2877839368113514
"[Demography] Population, urban (%)",0.09006077195487068,0.11692136372798992,0.08748970791964245,0.1535358882709158,0.1323772896887746,0.10220539042451658,0.27227014291894597
[Demography] Young age (0-14) dependency ratio (per 100 people ages 15-64),0.541851612257309,0.5182755862505927,0.46305260355131805,0.49506779513909105,0.6620250933817114,0.7812731730397899,0.5704321823305959
[Education] Education Index,0.6412948195175379,0.44047074432062217,0.5112214563984855,0.82396655856333,0.7210615741239057,0.5757536995854338,1.0676966099215273
[Education] Expected years of schooling (years),0.29139355149900037,0.5495770214202178,0.7485882589246586,0.7726685265202377,1.0717277499799887,1.0009018941501382,1.3509003227148164
"[Education] Expected years of schooling, female (years)",0.2008084433493383,0.1760868205486451,0.35834190157592405,0.3212585514060222,0.1839462262334025,0.26335143700331154,0.3672125121003711
"[Education] Expected years of schooling, male (years)",0.6121741312324035,0.6068493227799701,0.7812252211701661,0.630283329171395,0.4001834765219823,0.5275489206734083,0.4209693784578034
[Education] Government expenditure on education (% of GDP),0.07047668992061973,0.08184885292074122,0.15646615920774865,0.15344574555879611,0.25884210603368885,0.06425873546000116,0.09524056726687607
"[Education] Gross enrolment ratio, pre-primary (% of preschool-age children)",0.07173036856853976,0.07703591763929422,0.1256846062839817,0.06123336941745203,0.13680678201539082,0.16247734722538912,0.19982314655895278
"[Education] Gross enrolment ratio, primary (% of primary school-age population)",0.13842320762946064,0.10679815613129715,0.14084145858865063,0.1486722698941683,0.2661033827950392,0.1354587960715406,0.3338081393534395
"[Education] Gross enrolment ratio, secondary (% of secondary school-age population)",0.15272573178740775,0.3029625037780152,0.24316721282753345,0.1841177922976939,0.111118852950782,0.4003088837933238,0.12431705099658776
"[Education] Gross enrolment ratio, tertiary (% of tertiary school-age population)",0.1745486910186158,0.18304544124930922,0.1946099669423429,0.13150634036339692,0.16234604000089245,0.15021854235427196,0.19362591238760207
"[Education] Literacy rate, adult (% ages 15 and older)",0.22252761292605447,0.2877177075845838,0.16814197050370094,0.26106571334076817,0.3196976049656507,0.29005370280120996,0.2959546707987035
[Education] Mean years of schooling (years),0.9577403139786722,0.8186572458475256,0.9072418323108189,0.8784621432956685,0.45743033683794143,0.772279674220951,0.51429210108854
"[Education] Mean years of schooling, female (years)",0.37312692568308103,0.24842018903650426,0.18456266813347944,0.2133978665195597,0.37322157525027233,0.3047947459427045,0.35963938082266605
"[Education] Mean years of schooling, male (years)",0.3771105599430057,0.24572558808841605,0.20735464989326668,0.24497722504453914,0.31992705716272596,0.31700569241847293,0.22127481573274163
[Education] Population with at least some secondary education (% ages 25 and older),0.14293805995967693,0.18770641940377358,0.27735231362630586,0.19772294741988838,0.23917692353344855,0.27473942420255704,0.6365502900585651
"[Education] Population with at least some secondary education, female (% ages 25 and older)",0.19866406359144684,0.3396656939531398,0.386777690537721,0.34088096009477065,0.15342743716827323,0.3702394707206318,0.41103387960220383
