[Dimension] Attribute,2010,2011,2012,2013,2014,2015,2016
[Demography] Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),0.9592081544871826,1.2878241572404887,1.0796183099627437,0.8390947348429003,1.4521476121147534,0.6202892058610848,0.5928001918438269
"[Demography] Population, ages 15–64 (millions)",1.1204763182406134,1.3267230184299876,1.0338349978631918,0.8741035306424566,0.9489953334181511,1.448876660853135,1.1180910226575205
"[Demography] Population, ages 65 and older (millions)",1.0466996573423548,1.169389566837351,1.2074655571575876,0.8340542344203725,1.20379722037311,1.4343223586674103,1.147526824680653
"[Demography] Population, total (millions)",1.473068721405042,0.9820459195862332,1.2256090488147648,1.3237182773515537,1.0120971502837812,1.3411747101441565,1.1657249401766716
"[Demography] Population, under age 5 (millions)",0.6978975829613795,1.0426052597922646,0.9227347049126916,0.7482900358516146,0.7840902822649018,0.7427157885004113,0.860420798394457
"[Demography] Population, urban (%)",0.35721444750249143,0.3775967364467704,0.34790562859003143,0.4818820021374094,0.43422514946216456,0.33973127690836247,0.569650319281609
[Demography] Young age (0-14) dependency ratio (per 100 people ages 15-64),1.658082900094984,1.5988337551265404,1.572230349427116,1.3482958997354129,1.8343062683071816,1.9592135698448179,1.3105357074403532
[Education] Education Index,2.1264432750543865,1.6974210186431928,1.7784437094007737,2.2900514728945867,2.1988000628739366,1.91532876374201,2.1090958141362757
[Education] Expected years of schooling (years),1.0574994431654732,1.4409221037793518,2.4312660928742234,2.1293193422518555,2.76259579437299,2.6368457456957084,2.982170228722069
"[Education] Expected years of schooling, female (years)",0.8288978063170818,0.6048907497532237,1.3026609307066435,0.8753410678090959,0.6423449158783443,0.8313406207267979,0.8654518174382019
"[Education] Expected years of schooling, male (years)",2.0269530911042835,2.076063144592742,2.2353148298126224,1.8879577739597169,1.2100460809980405,1.3226115437475556,1.0868148846833494
[Education] Government expenditure on education (% of GDP),0.29543991268303094,0.2815316719401363,0.5611920103523335,0.5188329189866148,0.6840612156785809,0.2859171435540488,0.39064692604659873
"[Education] Gross enrolment ratio, pre-primary (% of preschool-age children)",0.29988922620386876,0.29779743311783397,0.42906634237078695,0.3024606470968296,0.5275031746803118,0.4580687876298343,0.5215663296419991
"[Education] Gross enrolment ratio, primary (% of primary school-age population)",0.40637692697543465,0.3853789962628944,0.4218924088918146,0.5482433044429275,0.7286688756745255,0.4172190734589861,0.837058351109358
"[Education] Gross enrolment ratio, secondary (% of secondary school-age population)",0.5598171828529035,0.8182277602915705,0.7167335696033543,0.5281056166769599,0.4353686704086701,1.0402236663966302,0.3527737478475833
"[Education] Gross enrolment ratio, tertiary (% of tertiary school-age population)",0.6538600448587678,0.6192151075414225,0.63913449737748,0.3913256415531366,0.4438504265066872,0.4292574554635797,0.49017021771169744
"[Education] Literacy rate, adult (% ages 15 and older)",0.6787083253556748,0.8917613456396781,0.6108147687475912,0.8093124361226962,1.0054308001545593,0.8678931387194182,0.8714922239123003
[Education] Mean years of schooling (years),3.0882476594574557,2.574632994549905,2.9968847854934966,2.545629929916594,1.5465528127166897,1.9633559161218943,1.3804432214962
"[Education] Mean years of schooling, female (years)",1.2175898564492698,0.8465342293447679,0.6917786250682589,0.7514530758885125,1.2614327839335688,0.9047462139848422,0.931943593570605
