,2010,2011,2012,2013,2014,2015,2016
[Demography] Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),0.023568533729959977,0.03800777476864537,0.03824593283815116,0.03039795616309477,0.033154470351375476,0.03502787925117214,0.02623648184105007
"[Demography] Population, ages 15–64 (millions)",0.06615547884304045,0.158993097722362,0.03384576532741829,0.03640611782527002,0.07490592084127816,0.13001652583258602,0.06655273441353374
"[Demography] Population, ages 65 and older (millions)",0.03952937579874244,0.05486092121631492,0.03555778817435653,0.06507767323542482,0.04362656881337465,0.19037136321320255,0.13380639478187134
"[Demography] Population, total (millions)",0.15597778599229783,0.08704372697351517,0.11866308134780708,0.10256980257005681,0.08036434248037547,0.08781810885378341,0.08868947282175749
"[Demography] Population, under age 5 (millions)",0.029884923750642816,0.048054314054698594,0.06651291032441323,0.029093352102519288,0.05769209780134987,0.07043149841169696,0.09478534685606087
"[Demography] Population, urban (%)",0.009367596290015611,0.011118850461373602,0.006848964008067965,0.00857560100514852,0.012959349568744671,0.011395028232966824,0.022115045766519976
[Demography] Young age (0-14) dependency ratio (per 100 people ages 15-64),0.047684650458050135,0.03876204025364627,0.08840312450701682,0.05386630872594846,0.0686175092835308,0.07656132320268516,0.055559750532671336
[Education] Education Index,0.10819857505069841,0.12785752018446092,0.10071245968273848,0.26938638949163296,0.1525586187839047,0.14805351564899635,0.2860187546821643
[Education] Expected years of schooling (years),0.06909235951625758,0.07946426880715654,0.03499402211660222,0.10383491159532635,0.17631127160063625,0.15758163906178996,0.2130135430233136
"[Education] Expected years of schooling, female (years)",0.0428420998260237,0.02556482598856427,0.060537550692820165,0.03452249849234369,0.03274998393186127,0.03853451986838282,0.0772577149600749
"[Education] Expected years of schooling, male (years)",0.14406090200916777,0.1288035667897584,0.05240799049846721,0.09521858016758455,0.06304309252295989,0.07610513642284883,0.106254926287692
[Education] Government expenditure on education (% of GDP),0.003990914952243746,0.0035701862185530805,0.018153887792338612,0.016713851529294086,0.013159913905057224,0.01020736674608529,0.039040504734217246
