,2010,2011,2012,2013,2014,2015,2016
[Demography] Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),-0.16287342997058044,0.936922797756506,-0.1611954473323345,0.363994540745874,-0.01596022830885408,0.8747269686872869,1.0643582189774377
"[Demography] Population, ages 15–64 (millions)",0.46714659676528253,1.105445243682734,0.32942897648477204,0.12410622188846701,1.6437091768776837,0.9290321307276505,0.5344191915208644
"[Demography] Population, ages 65 and older (millions)",0.5444695589655649,0.41719051067590884,-0.06297076332894966,1.4884637681331747,0.24305531445429746,1.2354875242642303,0.6758315131201347
"[Demography] Population, total (millions)",1.6936769812939039,1.308447738721532,0.9186891567799023,0.6333389408986908,1.745564826532571,0.07938692712006062,0.2888940462938235
"[Demography] Population, under age 5 (millions)",0.9334685294512377,0.2909202969495529,0.8198363054291703,0.35856206459353046,1.802654779128485,1.59579615399325,0.6880062995666093
"[Demography] Population, urban (%)",0.6762296091836506,1.5532441103842263,0.7572958202647974,0.39133099718264114,1.0479609176985651,0.7753611150462906,-0.054998199475107826
[Demography] Young age (0-14) dependency ratio (per 100 people ages 15-64),0.2541568220016449,-0.39701554216915047,0.8505546739194028,0.061922791684758824,0.11780442286470111,-0.33561456685452323,0.433467384479069
[Education] Education Index,0.27701750766635114,1.417263806980494,0.5716078052407884,0.6094752318982293,0.10446216889741974,0.9658238364531283,-0.11849755721033872
[Education] Expected years of schooling (years),0.5365529970008065,-0.22419250712157923,0.09163846148385266,-0.5492809530916668,-0.08234984959422662,-0.37392498205916486,-0.24540986779632387
"[Education] Expected years of schooling, female (years)",0.6621804537760064,0.6079511736497101,0.40923220426653983,0.033263860802350886,0.7004599871650589,0.5368390956796656,1.1481979055406577
"[Education] Expected years of schooling, male (years)",1.301720235159417,0.3550372905318386,-0.6108559041806625,0.48548419220940253,0.20079845415831887,-0.023451798379395573,0.38513892480715384
[Education] Government expenditure on education (% of GDP),0.4354148587538167,0.3443020706069527,0.7045598008539561,0.23137562972743297,-0.25381472531944316,1.7022574397791075,2.2515056203560158
"[Education] Gross enrolment ratio, pre-primary (% of preschool-age children)",0.7070829049914883,0.910558062454062,0.6051999129812174,0.5659520632678784,1.2190834870796616,0.28893457061787675,0.553109156084218
"[Education] Gross enrolment ratio, primary (% of primary school-age population)",0.11436593692871261,1.1067099314207682,1.0485167388423862,0.8201401116839102,-0.3154290567362003,1.2383398109905972,1.3334527267406158
"[Education] Gross enrolment ratio, secondary (% of secondary school-age population)",0.702263988542295,-0.7684830634331778,0.33082073326762024,0.6488365508420463,0.6688685689133809,0.013249341018740573,0.5153490470680342
"[Education] Gross enrolment ratio, tertiary (% of tertiary school-age population)",0.46032687312043713,0.5604824870263945,0.21992740430524965,0.7509846217679973,0.15293937270593286,1.1618546734340698,0.3724834765077198
"[Education] Literacy rate, adult (% ages 15 and older)",1.1052852489190619,-0.057970123646564176,0.5857919122107533,1.0074522499650889,0.33912054137553443,1.165021394195788,1.4619168065705626
[Education] Mean years of schooling (years),0.4711918333433344,-0.4954416000476952,0.7369864624432297,-0.23940204322215447,0.7130310268950298,0.07030211062436116,0.7932097209424233
"[Education] Mean years of schooling, female (years)",-0.0677732839568519,1.1782892701099539,0.34630872845805166,0.9042923453179801,0.5173883763976843,0.5586544106193577,0.24252573189662305
"[Education] Mean years of schooling, male (years)",0.09663130289394978,1.4048046522255682,0.1838269479424761,1.0383934442669809,0.6714010395374106,1.0658488586271313,1.2743474739903653
[Education] Population with at least some secondary education (% ages 25 and older),1.478943658410414,0.9451357579058063,0.501762398587141,1.6499302604675392,1.0166101260777578,0.6002396465643488,0.7207156176063952
"[Education] Population with at least some secondary education, female (% ages 25 and older)",0.7151660717846541,0.4866841445546091,-0.30681954207952067,-0.32678942007467965,0.7298546960458714,0.2869198713860543,0.31507132143875016
"[Education] Population with at least some secondary education, male (% ages 25 and older)",0.1753721921103376,0.9537057197472809,0.988467356264524,0.9926684568967922,0.4402299857138955,1.0623426362951272,0.4925114669762765
[Education] Primary school dropout rate (% of primary school cohort),-0.04912810321348191,0.6367760121471201,-0.046585566200311714,0.32294816547400856,-0.15547249196005425,-0.010834179692796665,0.6186804492857992
[Education] Primary school teachers trained to teach (%),0.05205858302555648,0.6793930428158297,0.787558782413463,1.0212243809037247,0.6893442554256577,0.4909149423465016,0.13647045719157633
"[Education] Pupil-teacher ratio, primary school (number of pupils per teacher)",0.2588670187825577,0.6954792911396205,0.7381328792863668,0.46924311676442504,0.5430750772877722,-0.04252594350211412,0.25226598402307765
[Education] Survival rate to the last grade of lower secondary general education (%),0.9221431637322561,1.5404908227501388,0.9687733609051598,0.4464868403732105,0.38841691593095534,0.5523767789774482,0.8152966011543523
[Environmental Sustainability] Fresh water withdrawals (% of total renewable water resources),0.250922523229075,0.6224622974194737,-0.019010783060961232,0.8485983338553106,1.1466736241662372,0.3987306151270416,0.5403151689408969
"[Gender] Adolescent birth rate (births per 1,000 women ages 15-19)",0.7248665008315667,1.835774457729318,0.4536358737996087,0.954983004702837,-0.05745691850135387,0.35601634304411994,0.31530405877702655
"[Gender] Antenatal care coverage, at least one visit (%)",0.12580046678000983,0.3294620018914405,0.38696483867325926,-0.13793095328924937,0.32804248487853366,-0.09704571137542008,-0.018839069282547624
"[Gender] Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)",0.6101830279011824,0.6232893593995251,0.5162337618965989,1.0932509583233985,0.2942792550494038,0.6657648616635372,1.1305336496114053
"[Gender] Estimated gross national income per capita, female (2011 PPP$)",0.031833128228767625,-0.6012205690702287,0.05142785593391774,0.05427077324843051,-0.5645844207289322,0.08259081013629578,0.314191079850968
"[Gender] Estimated gross national income per capita, male (2011 PPP$)",0.14183209984892017,-0.25271069472591207,0.1161341883821041,0.25465100397650753,0.251211651447165,1.6694325489962905,0.6311904243992131
[Gender] Female share of employment in senior and middle management (%),-0.14759258662865962,0.7713774324303506,0.7086962395669691,0.7447970898469424,1.2478257903327847,1.2821376709890973,0.5086451947326599
[Gender] Gender Development Index (GDI),1.0256442275119966,1.1143463429764096,-0.13142039787534462,1.5876248484510989,0.40076225986950165,0.4745994540391749,0.14748987850203438
[Gender] Gender Inequality Index (GII),1.0023781356616914,1.0279202433127999,-0.3507491842242384,1.2553144280865143,0.48884736067227286,0.5723693394494396,1.0241282339552502
"[Gender] Human Development Index (HDI), female",0.36382974735619034,1.251789751095959,1.2482289833749949,0.35500308638153993,0.711493038510837,0.8186464961600433,1.4383101209419165
"[Gender] Human Development Index (HDI), male",1.1943011525769989,0.9570397272954078,0.7047020675051111,0.5671902405473077,1.0473934478023788,0.1781005535888648,0.5397998874597834
[Gender] Proportion of births attended by skilled health personnel (%),1.2287074189710618,0.8872312986335289,-0.07144029344311288,0.7906469290470397,0.8419396264086401,0.8010725117596736,1.0689065960619852
"[Gender] Share of employment in nonagriculture, female (% of total employment in nonagriculture)",0.04291930087694516,0.021110712085472914,0.26968533604486983,0.4426661023733986,0.015599308696184528,-0.555321647106766,0.5232869573167974
[Gender] Share of seats in parliament (% held by women),0.98147886870227,0.12811892961336413,1.1341268645177964,0.38870856170539103,0.30889580742529277,1.6028301711409627,-0.1171044839195892
[Gender] Total unemployment rate (female to male ratio),0.5322362939109031,1.6161906294866848,0.569505127912244,0.59861584816482,0.36281156615933036,0.968545051015477,1.4784048234193239
"[Gender] Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",0.5790985934761937,0.9248093746619441,0.39291211775778,0.3932113089227759,1.2128885546303232,0.07644387539512183,0.9754068114786312
[Gender] Youth unemployment rate (female to male ratio),0.7950522000189559,1.2978414294282294,0.4221259748475859,0.3364376987354717,0.5578820923200938,1.057015146915455,0.2073865132794387
"[Health] HIV prevalence, adult (% ages 15-49), total",0.6618584483744236,0.6499897910886601,0.7904459280491816,0.549835787151661,0.5159223130599546,-0.11204141342042548,0.8842164353204504
"[Health] Infants lacking immunization, DTP (% of one-year-olds)",0.681319231407152,0.5494418449371509,0.8521871663953934,0.3076512740911635,1.303874210894572,-0.26678316119980006,0.7862269724913742
"[Health] Infants lacking immunization, measles (% of one-year-olds)",0.27600680549372103,0.9860092722463152,0.5551283765780136,1.2957094031622514,0.32161948727103257,1.4463766081809797,0.8736809740355078
[Health] Life expectancy Index,0.3060643230177368,0.8927543009326655,0.05920766276201492,0.14512211838949654,1.0050500180625161,0.7140316461183824,-0.18138850415927052
[Health] Life expectancy at birth (years),-0.5515861107093719,0.12665110634775958,0.6842778255250274,0.27639162624982333,1.023854662579854,0.957876648413832,0.3878952459458011
"[Health] Life expectancy at birth, female (years)",1.1492477636392675,1.0086635734549512,0.5386515711113655,1.0377689770983864,0.17351314445579885,0.6029489875729461,0.4449707899678306
"[Health] Life expectancy at birth, male (years)",-0.2882921691357902,0.1706083551978268,0.6943471988252616,1.0126840235912276,1.1827162939544027,0.17896553812629198,-0.6107860353882537
"[Health] Mortality rate, female adult (per 1,000 people)",0.8381275642392523,0.7666395373338557,2.447888206328069,-0.04669673618138918,0.3828037539247387,0.5813202651156074,0.7006367349828798
"[Health] Mortality rate, infant (per 1,000 live births)",0.023788017556904996,1.0397303292206297,0.32328696011686187,0.35477293085971134,0.6826647461780226,0.2722783971175145,-0.20287658484646948
"[Health] Mortality rate, male adult (per 1,000 people)",0.005137382785784402,0.08629291381087277,0.1336860670442509,0.1268165369379808,1.2050564269734279,0.9587821010158794,-0.5074875550812374
"[Health] Mortality rate, under-five (per 1,000 live births)",0.4605735015620631,0.9756087245252549,0.5228731449795675,0.3420923117879082,1.3828174448498465,0.4216425075512345,1.1236713304946737
"[Health] Tuberculosis incidence (per 100,000 people)",-0.0024740609054268027,0.9977157860585079,0.4901924053603772,0.9231678343014584,0.614702608231991,1.1941284677188113,0.7066221059629774
"[Human Security] Homicide rate (per 100,000 people)",1.1697358476175868,3.246664426107179,-0.410709361430595,0.7084086485073591,1.0032621917382412,1.1445355386820049,1.0880973754012293
