[Dimension] Attribute,2010,2011,2012,2013,2014,2015,2016
[Demography] Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),0.30900587960598214,0.4233438917531358,0.34175274908621994,0.29361634497784694,0.5090086032488019,0.22786145903047675,0.2579179766343817
"[Demography] Population, ages 15–64 (millions)",0.36095790957982277,0.4361310375665936,0.32726005974600836,0.3058666359615772,0.33264303513149474,0.5322406818911127,0.48646369927772704
"[Demography] Population, ages 65 and older (millions)",0.3371909911183687,0.3844111227585797,0.38222274462885863,0.2918525711755969,0.4219565122891143,0.5268942007660609,0.4992707506297223
"[Demography] Population, total (millions)",0.47454443944044566,0.32282601560197866,0.3879660597381376,0.4631959971112237,0.35476156316354573,0.49267667949176686,0.5071884625196139
"[Demography] Population, under age 5 (millions)",0.22482550371265808,0.34273356790303083,0.2920913059468735,0.26184193057918353,0.274840309667553,0.27283451269757475,0.37435546484185656
"[Demography] Population, urban (%)",0.11507550685647061,0.12412662941747246,0.11012938915172313,0.16862033129630277,0.1522051442837566,0.12479930926278751,0.24784583365477206
[Demography] Young age (0-14) dependency ratio (per 100 people ages 15-64),0.5341461731811566,0.5255814626213394,0.49768889537641037,0.47179620797292765,0.64296333497519,0.7197114803205651,0.5701933343152034
[Education] Education Index,0.6850269897796062,0.5579898590470307,0.5629656529294902,0.801335672077996,0.770726157237517,0.7035905227843561,0.9176341917469923
[Education] Expected years of schooling (years),0.34067010803602366,0.47367147734995785,0.7696163202609556,0.7450922245146453,0.9683485445305328,0.9686377147550882,1.297495044626978
"[Education] Expected years of schooling, female (years)",0.26702681221618146,0.19884454150535247,0.4123568024810288,0.3062996754320381,0.22515554597032783,0.3053905903894349,0.3765443815629119
"[Education] Expected years of schooling, male (years)",0.6529765410215902,0.6824601372911043,0.7075880254272657,0.6606348938256057,0.4241468707568462,0.48585755360760263,0.4728559468946759
[Education] Government expenditure on education (% of GDP),0.0951750354313261,0.09254735049099394,0.17764510895498867,0.18155021000764437,0.23977799572466366,0.10503084186611207,0.16996429173039732
"[Education] Gross enrolment ratio, pre-primary (% of preschool-age children)",0.09660836773956145,0.09789436203801194,0.1358207810042105,0.10583714330758198,0.18490107473462297,0.16827025409987698,0.2269252511600485
"[Education] Gross enrolment ratio, primary (% of primary school-age population)",0.1309130444567109,0.1266848763168407,0.1335498751983567,0.19184150313998527,0.255413928683068,0.15326422887165148,0.36419083396638685
"[Education] Gross enrolment ratio, secondary (% of secondary school-age population)",0.18034333861401292,0.2689743956383947,0.2268817280273606,0.18479491586845923,0.152605972680891,0.3821231775492976,0.15348627160793274
"[Education] Gross enrolment ratio, tertiary (% of tertiary school-age population)",0.2106389498000148,0.20355335935041796,0.20231777240062815,0.13693281556635573,0.1555790084718334,0.15768649394093473,0.2132653000084414
"[Education] Literacy rate, adult (% ages 15 and older)",0.21864374493830044,0.29314694592082896,0.193353173501806,0.2831949118164269,0.3524248657508763,0.31881805293809234,0.3791724667715265
[Education] Mean years of schooling (years),0.9948692366590157,0.8463540193905901,0.9486626937370233,0.8907677818146033,0.5420996326296478,0.7212331593334923,0.6006089867135982
"[Education] Mean years of schooling, female (years)",0.3922427294131763,0.2782795253048919,0.21898225020314946,0.2629487427376777,0.44215900235322236,0.33235592433806654,0.405473900478138
"[Education] Mean years of schooling, male (years)",0.34667284087276534,0.26280372915385064,0.20895137903254685,0.295408339546004,0.43780089387487625,0.3657283302768753,0.27865251588313716
[Education] Population with at least some secondary education (% ages 25 and older),0.1678822240981166,0.2550882120936006,0.297392474668025,0.29602969091893916,0.26685497924001456,0.26544216771746887,0.6486988930179559
"[Education] Population with at least some secondary education, female (% ages 25 and older)",0.222779169746283,0.4022793372946795,0.3647020188810449,0.3145167033746187,0.24717229589121073,0.38502272361311224,0.39232800405873147
"[Education] Population with at least some secondary education, male (% ages 25 and older)",0.35737431202132147,0.40197617549833947,0.31629712549764416,0.3312419304392726,0.36968659710522955,0.3828158086751704,0.3442189180256684
[Education] Primary school dropout rate (% of primary school cohort),0.1910726549797966,0.33488909837620984,0.26958711114900924,0.2802364592493341,0.3648103510622306,0.18237051057187248,0.5288889229118432
[Education] Primary school teachers trained to teach (%),0.12608032720752965,0.17382593758436718,0.12398856294570004,0.10142617439698635,0.12330982844018565,0.10363741760460936,0.178294238604343
"[Education] Pupil-teacher ratio, primary school (number of pupils per teacher)",0.18014637151783636,0.30516024076016296,0.29686687488197844,0.1560381686954888,0.19912640676501242,0.26121444692417534,0.19349404618541471
[Education] Survival rate to the last grade of lower secondary general education (%),0.13680155735520017,0.1125694594663021,0.12720427596621567,0.21504209063647667,0.1937153579886165,0.09900201956128374,0.4288005357431854
[Environmental Sustainability] Fresh water withdrawals (% of total renewable water resources),0.29245914612928947,0.7156580474843707,0.1984519672731896,0.42858020567311794,0.42392551991539296,0.5196633876844153,0.6294943796893862
"[Gender] Adolescent birth rate (births per 1,000 women ages 15-19)",0.17993235683245065,0.14246053032995543,0.18293063369315404,0.18656617553443766,0.3181701909088039,0.2580355720154126,0.2539270504530929
"[Gender] Antenatal care coverage, at least one visit (%)",0.2517122189064366,0.2197355070728424,0.2297543694404641,0.39231624368126783,0.49626418195374955,0.2529310652503064,1.0145892649261998
