,2010,2011,2012,2013,2014,2015,2016
[Demography] Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),0.9409285776541247,1.2300061803235898,0.8252093310930492,0.5507914091980654,1.5780313603288136,0.4499622533180647,0.5828457888568135
"[Demography] Population, ages 15–64 (millions)",1.1072001086116394,1.127321666525356,1.1738471778512338,1.0744658790200936,0.9006034064629921,1.4121456032994055,1.2753696979353895
"[Demography] Population, ages 65 and older (millions)",1.1405642020765054,1.0481033918393807,1.2923753709377883,1.0819655997422155,1.12741228737881,2.0010246400023473,1.4706454913445868
"[Demography] Population, total (millions)",2.0256931337363837,1.36718336141687,1.467826318792116,1.503761127786079,0.6901573386273323,1.1792814178820685,1.1428198147275883
"[Demography] Population, under age 5 (millions)",0.6194014142167182,1.0887402148358907,1.1626568071528816,0.6948070887126944,0.731630543211451,0.7791327015177819,1.0783523221942386
"[Demography] Population, urban (%)",0.386799501718577,0.4022182195316156,0.39924430234912195,0.5247234721532736,0.46745891122689637,0.270076191820529,0.6840554168466597
[Demography] Young age (0-14) dependency ratio (per 100 people ages 15-64),1.6907902259676324,1.4644385491889695,1.449378955775027,1.2301767514486128,1.896256255081687,2.129395036608174,1.3101972898926828
[Education] Education Index,1.97646627773653,1.9529035559701389,1.997786166159117,2.3567205711525907,2.302351513670938,2.1804790974844392,1.5931235933289525
[Education] Expected years of schooling (years),1.1490878705998355,1.5885040887201884,2.4195046070293866,2.4595608999666254,2.5080184082786885,2.3662383287013182,3.2270435418938916
"[Education] Expected years of schooling, female (years)",0.760994568104978,0.6286892544689479,1.0781281062829033,0.9296783330346737,0.7146133575619035,0.8438626938494226,1.0675671656041263
"[Education] Expected years of schooling, male (years)",2.220029101562765,1.9394145957597733,2.1504024033223037,1.9106262333764186,1.3907377960951495,1.1984279526126083,0.7267149163726079
[Education] Government expenditure on education (% of GDP),0.3071859205951743,0.23104523544395356,0.581756202618473,0.5171582153832258,0.704906337782803,0.38328752385963166,0.3390857546941084
"[Education] Gross enrolment ratio, pre-primary (% of preschool-age children)",0.29081940090222924,0.23930587696422723,0.4596218856685009,0.2696805074394207,0.5521781329097976,0.4319067082560808,0.4385675793767062
"[Education] Gross enrolment ratio, primary (% of primary school-age population)",0.47968085181560965,0.4128684181836905,0.40935524476178486,0.6241528703374166,0.5640320787506519,0.38747819978734,0.9417603006822629
"[Education] Gross enrolment ratio, secondary (% of secondary school-age population)",0.39664234030992745,0.7556375848563706,0.6450977807124387,0.5748771171814067,0.4950948748165488,1.006595410871866,0.28939585794312966
"[Education] Gross enrolment ratio, tertiary (% of tertiary school-age population)",0.6597209419504548,0.5029584793067753,0.7413581856525555,0.39699663830140275,0.5335210998080219,0.5095563043414559,0.4830531035922101
"[Education] Literacy rate, adult (% ages 15 and older)",0.6612629722257971,0.8564123620898957,0.6430710243212855,0.6984215212334384,1.0182780295421576,0.9663175503285767,0.9308027415511627
[Education] Mean years of schooling (years),3.1953223835243127,2.3659349886789,2.710180314413647,2.809681973698466,1.4114587392430855,1.5520359014942655,1.6837370504354119
"[Education] Mean years of schooling, female (years)",0.9117843184464921,0.9975195909822657,0.7723805804477134,0.8691069068030658,1.5444509253057943,1.010144270499299,0.7097812637688914
"[Education] Mean years of schooling, male (years)",0.9973525809419089,0.5835947654689406,0.5590674826265231,0.8736637785000704,1.143780420384509,0.9703970586517344,0.8169464302334518
[Education] Population with at least some secondary education (% ages 25 and older),0.5447922121777701,0.8784132140771916,0.7200360078217231,0.5734194748227555,0.6768495446684837,0.758367104898438,1.1253917521857906
"[Education] Population with at least some secondary education, female (% ages 25 and older)",0.7957311195585076,1.4666142191380733,1.064157463814083,0.8451921201676645,0.6320710871267551,1.3683077921146645,0.8749537703433421
"[Education] Population with at least some secondary education, male (% ages 25 and older)",0.8267548214148238,1.2568273579826472,0.684524751898176,0.9895459054086129,1.1560433173289932,0.8958379957193588,1.110874166262256
[Education] Primary school dropout rate (% of primary school cohort),0.6768413433196288,1.1209102732309502,0.7746043219563976,0.9526446218803093,1.0573175631365865,0.49792460824003026,1.219484306118061
[Education] Primary school teachers trained to teach (%),0.36080847044788206,0.46719094657874194,0.39345522677746825,0.3387142652011045,0.3516516765723578,0.20540750177426592,0.4234120841421274
"[Education] Pupil-teacher ratio, primary school (number of pupils per teacher)",0.4862406591590972,0.9768470594089732,0.9941795740663364,0.41483674041048124,0.5379684467403391,0.6831016077641437,0.5165694890116256
[Education] Survival rate to the last grade of lower secondary general education (%),0.3816579461534688,0.40912608555364693,0.46406388443542385,0.6590156453314149,0.5674580014835251,0.2928370812687924,1.146954533825374
[Environmental Sustainability] Fresh water withdrawals (% of total renewable water resources),0.9700644485051415,1.410913663699617,0.6225199140869146,1.3233733611474816,1.19810209102239,1.0874970029169515,1.5403888823665488
"[Gender] Adolescent birth rate (births per 1,000 women ages 15-19)",0.5375544071746954,0.5197617821291503,0.5526009281778145,0.47072739220849524,0.8775179938809585,0.6505176806891894,0.5177869236541569
"[Gender] Antenatal care coverage, at least one visit (%)",0.7138020656181631,0.881578215824344,0.8924194279993877,1.0774267228892809,1.578287271502048,0.7459936015719418,2.431540949868737
"[Gender] Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)",0.7078395224070981,1.1744146164212301,0.7582884972410374,1.0546271439716692,1.122841778274253,0.7082007752569158,0.7151454571631443
"[Gender] Estimated gross national income per capita, female (2011 PPP$)",4.4294069170322175,4.762893375393382,4.772740931814263,6.285651680056503,5.298131615790964,6.214729654110697,6.203613565799912
"[Gender] Estimated gross national income per capita, male (2011 PPP$)",1.9838945994353108,2.6881058480541236,1.905594285147347,1.4501805970196866,1.0091966128535867,1.4491691530030886,1.1173960468528306
[Gender] Female share of employment in senior and middle management (%),0.9349117533814861,0.23489899119628183,0.35103079491849104,0.5599652041258528,0.6498816698207411,0.7742139960656379,0.4009025649956494
[Gender] Gender Development Index (GDI),0.520755801810656,0.6488792115167291,1.4697542596564852,0.8684018877915549,0.6921984335810993,0.5812084861244319,0.5381698492097842
[Gender] Gender Inequality Index (GII),0.6455490351278845,0.793888385443825,0.8452142879600512,0.5972796794573543,0.48650703277673646,0.3972326107420221,0.6873636079611488
"[Gender] Human Development Index (HDI), female",1.2085184470146584,0.8496310282432553,1.260031795996917,1.0652650563575576,1.3103425297966276,0.5425017836834205,0.908064680128632
"[Gender] Human Development Index (HDI), male",0.9133654863049524,0.9689744581752359,1.4823777534014375,1.7411036254505594,1.5845493439138998,1.8529408483297993,1.5354567431209296
[Gender] Proportion of births attended by skilled health personnel (%),0.5314095175373205,0.5669354497973463,0.963692094790578,0.6089645201034467,0.7130023470077632,0.3873031294952477,0.4263970371498953
"[Gender] Share of employment in nonagriculture, female (% of total employment in nonagriculture)",1.128935980873157,0.949416607847854,0.945434107476642,0.8973060307876599,1.2704155131081682,0.8637860662865775,0.7646665878461933
[Gender] Share of seats in parliament (% held by women),0.3264675719830597,0.7134541341981251,0.5281316739858588,0.5111119473756779,0.5830927297620901,0.6023167227228862,0.8334251012208114
[Gender] Total unemployment rate (female to male ratio),1.2871869127059345,0.7328109078815729,0.9271792961943526,1.5088345006719937,1.9278095245717726,0.8194229092563433,1.0777598324277082
"[Gender] Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",0.660487546808879,1.6502678347978597,0.6214114140334079,1.0199048163584037,0.7798809601279757,0.7552462858506778,0.6472634259900217
[Gender] Youth unemployment rate (female to male ratio),0.561708649102405,0.6446215790937462,0.3901158306017636,0.46220879411001964,0.4114641994912033,0.3288336273135113,0.758312736882606
"[Health] HIV prevalence, adult (% ages 15-49), total",0.6340635130859332,0.929663515433071,0.9287741704797046,0.884760094908216,0.9522328110396395,0.4739654464969235,0.4519772881409406
"[Health] Infants lacking immunization, DTP (% of one-year-olds)",0.9681284422488328,0.5262875592699193,0.5825943941652889,1.3018699167160155,0.9198940990914426,0.6383712598506565,0.3674120482721018
"[Health] Infants lacking immunization, measles (% of one-year-olds)",0.36618034595751464,0.6292564540796052,0.434896690661734,0.8394166262256213,0.7980011495017006,0.6026025260193159,0.5958280636479585
[Health] Life expectancy Index,2.1009955418565838,1.374068819392375,1.9247162593458977,1.8213068610625869,2.534760412239852,0.9119096365335227,1.8897353764984741
[Health] Life expectancy at birth (years),2.2545206892367706,2.000966183775133,2.5185862868179525,2.4009222046124084,2.2708210674938774,0.9668557722478612,0.6653704360790802
"[Health] Life expectancy at birth, female (years)",1.0711777690254807,1.0535857418249186,1.1329216902789032,1.1744209121378573,1.063616760893848,1.303308991412519,1.099531888492681
"[Health] Life expectancy at birth, male (years)",1.878470798703756,1.7463918470141302,1.1113086812259327,1.1473104516383874,0.9511981848691545,3.3622133794575495,2.164360200790548
"[Health] Mortality rate, female adult (per 1,000 people)",1.1745178848159368,0.8621182027696699,0.4170465586949694,0.7942566025218429,0.8479840959559035,0.8840143828231574,1.0748376578026122
"[Health] Mortality rate, infant (per 1,000 live births)",1.1782088942937023,1.174196813101314,1.2106158566920833,1.876311039521202,1.0420041015433077,2.049501390420693,1.8249768615113626
"[Health] Mortality rate, male adult (per 1,000 people)",1.0671705054569838,2.0288061233083123,2.5958446598961356,2.264681012953643,1.677916325499289,1.162496419476474,1.3797904931291176
"[Health] Mortality rate, under-five (per 1,000 live births)",0.9987124738358423,1.196656715821578,1.010185767032414,1.7558691994554187,0.8852014044652058,1.3441711939513112,1.5231770957859774
"[Health] Tuberculosis incidence (per 100,000 people)",0.6361669411890272,0.4061796455724533,0.2458184904539667,0.344870093561913,0.53647507591289,0.48293657280796015,0.3262535601639803
"[Human Security] Homicide rate (per 100,000 people)",0.6648115678407759,0.4183018292918498,0.7890336402102781,0.40208907606834754,0.5938761324639871,0.3893140893948411,0.34077058608617067
[Income_composition of resources] Domestic credit provided by financial sector (% of GDP),0.6763716955870097,0.7508025700215444,0.9591496913572842,1.0224325412580977,0.9792832637127791,0.716232260237024,1.2618927259605337
[Income_composition of resources] Gross domestic product (GDP) per capita (2011 PPP $),2.7957826174170313,1.5184310846269102,0.76985813894532,1.4916781219190198,0.9240593021082686,0.9738036648243787,1.4521433101602146
"[Income_composition of resources] Gross domestic product (GDP), total (2011 PPP $ billions)",1.5004029252864803,1.3649672410192883,1.2696150765511225,1.3173514160959832,1.7731146724135363,2.1621052177092257,0.8537958948887172
[Income_composition of resources] Gross fixed capital formation (% of GDP),1.236869609250204,0.6221284787347189,1.0106006671843175,1.356566725795723,0.9424831059303289,1.3966728598982932,1.2088350045093048
[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),4.454981312133195,5.839264216790775,5.17091178907416,3.406919121256255,4.376366212112196,4.381850109860017,4.175569738074866
[Income_composition of resources] Income Index,0.7611756917962975,1.24129192551862,1.8655715975509344,1.144666430030431,0.6409664316511356,0.6132871562509922,0.7426366493225993
[Inequality] Coefficient of Human Inequality,1.1292118026103324,1.3972632746939293,0.8911355805566951,1.065761436701364,1.4757142146863187,0.6961222301613953,0.7727242220437753
[Inequality] Inequality in education (%),1.12880771158911,0.7205624402137802,1.218591108839757,0.9283450965909684,1.2778570747857483,0.6199353033024732,0.8811567478797534
[Inequality] Inequality in income (%),0.4582619900780041,0.40587012225910163,0.6298410586981552,0.46538274851206163,0.7452247660932363,0.48594280644842625,0.8535016678915064
[Inequality] Inequality in life expectancy (%),0.6203738704689633,1.0221466300583264,0.8493617713828068,0.9319366297719703,1.1561437666113819,0.9315905529378724,1.1747631165759012
[Inequality] Inequality-adjusted HDI (IHDI),1.1810563433525256,0.9491180247269599,1.1786440673646579,0.943422691443408,1.1742743146821115,1.4732549716582322,1.0034010228068064
[Inequality] Inequality-adjusted education index,1.9311043593727613,1.6772705564383747,2.2107815255749212,1.2347484585895554,0.8715615118348187,0.6865939629240966,0.8604471491401884
[Inequality] Inequality-adjusted income index,1.5542547121746024,1.3788056853186994,0.9618902285110877,1.1554192943872392,0.7788930477776895,0.766471231152306,0.9293633530125242
[Inequality] Inequality-adjusted life expectancy index,0.9988425093594572,1.1427838538695227,1.437700132645754,1.364770026607127,1.4221755654730441,1.6576694166882016,1.1694061454139955
[Inequality] Overall loss in HDI due to inequality (%),1.470929014707301,1.048431844166852,1.060517348797502,1.59165518221066,1.4741519555549258,0.870330929882739,0.4367950409902686
[Mobility and communication] International inbound tourists (thousands),0.5441655565217718,0.5459611755403831,0.4394911800266546,0.5459565807770325,0.5504249355720726,1.2875668701894571,0.5964559983732776
