Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,,,,,,,,,,,,
ALB,,,,,,,,,,,,
DZA,,,,,,,,,,,,
AND,,,,,,,,,,,,
AGO,,,,,,,,,,,,
ATG,,,,,,,,,,,,
ARG,,,,,,,,,,,,
ARM,,,,,,,,,,,,
AUS,,,,,,,,,,,,
AUT,,,,,,,,,,,,
AZE,,,,,,,,,,,,
BHS,,,,,,,,,,,,
BHR,,,,,,,,,,,,
BGD,,,,,,,,,,,,
BRB,,,,,,,,,,,,
BLR,,,,,,,,,,,,
BEL,,,,,,,,,,,,
BLZ,,,,,,,,,,,,
BEN,,,,,,,,,,,,
BTN,,,,,,,,,,,,
BOL,,,,,,,,,,,,
BIH,,,,,,,,,,,,
BWA,,,,,,,,,,,,
BRA,,,,,,,,,,,,
BRN,,,,,,,,,,,,
BGR,,,,,,,,,,,,
BFA,,,,,,,,,,,,
BDI,,,,,,,,,,,,
CPV,,,,,,,,,,,,
KHM,,,,,,,,,,,,
CMR,,,,,,,,,,,,
CAN,,,,,,,,,,,,
CAF,,,,,,,,,,,,
TCD,,,,,,,,,,,,
CHL,,,,,,,,,,,,
CHN,,,,,,,,,,,,
COL,,,,,,,,,,,,
COM,,,,,,,,,,,,
COG,,,,,,,,,,,,
COD,,,,,,,,,,,,
CRI,,,,,,,,,,,,
CIV,,,,,,,,,,,,
HRV,,,,,,,,,,,,
CUB,,,,,,,,,,,,
CYP,,,,,,,,,,,,
CZE,,,,,,,,,,,,
DNK,,,,,,,,,,,,
DJI,,,,,,,,,,,,
DMA,,,,,,,,,,,,
DOM,,,,,,,,,,,,
ECU,,,,,,,,,,,,
EGY,,,,,,,,,,,,
SLV,,,,,,,,,,,,
GNQ,,,,,,,,,,,,
ERI,,,,,,,,,,,,
EST,,,,,,,,,,,,
ETH,,,,,,,,,,,,
FJI,,,,,,,,,,,,
FIN,,,,,,,,,,,,
FRA,,,,,,,,,,,,
GAB,,,,,,,,,,,,
GMB,,,,,,,,,,,,
GEO,,,,,,,,,,,,
DEU,,,,,,,,,,,,
GHA,,,,,,,,,,,,
GRC,,,,,,,,,,,,
GRD,,,,,,,,,,,,
GTM,,,,,,,,,,,,
GIN,,,,,,,,,,,,
GNB,,,,,,,,,,,,
GUY,,,,,,,,,,,,
HTI,,,,,,,,,,,,
HND,,,,,,,,,,,,
HKG,,,,,,,,,,,,
HUN,,,,,,,,,,,,
ISL,,,,,,,,,,,,
IND,,,,,,,,,,,,
IDN,,,,,,,,,,,,
IRN,,,,,,,,,,,,
IRQ,,,,,,,,,,,,
IRL,,,,,,,,,,,,
ISR,,,,,,,,,,,,
ITA,,,,,,,,,,,,
JAM,,,,,,,,,,,,
JPN,,,,,,,,,,,,
JOR,,,,,,,,,,,,
KAZ,,,,,,,,,,,,
KEN,,,,,,,,,,,,
KIR,,,,,,,,,,,,
PRK,,,,,,,,,,,,
KOR,,,,,,,,,,,,
KWT,,,,,,,,,,,,
KGZ,,,,,,,,,,,,
LAO,,,,,,,,,,,,
LVA,,,,,,,,,,,,
LBN,,,,,,,,,,,,
LSO,,,,,,,,,,,,
LBR,,,,,,,,,,,,
LBY,,,,,,,,,,,,
LIE,,,,,,,,,,,,
LTU,,,,,,,,,,,,
LUX,,,,,,,,,,,,
MDG,,,,,,,,,,,,
MWI,,,,,,,,,,,,
MYS,,,,,,,,,,,,
MDV,,,,,,,,,,,,
MLI,,,,,,,,,,,,
MLT,,,,,,,,,,,,
MHL,,,,,,,,,,,,
MRT,,,,,,,,,,,,
MUS,,,,,,,,,,,,
MEX,,,,,,,,,,,,
MDA,,,,,,,,,,,,
MCO,,,,,,,,,,,,
MNG,,,,,,,,,,,,
MNE,,,,,,,,,,,,
MAR,,,,,,,,,,,,
MOZ,,,,,,,,,,,,
MMR,,,,,,,,,,,,
NAM,,,,,,,,,,,,
NRU,,,,,,,,,,,,
NPL,,,,,,,,,,,,
NLD,,,,,,,,,,,,
NZL,,,,,,,,,,,,
NIC,,,,,,,,,,,,
NER,,,,,,,,,,,,
NGA,,,,,,,,,,,,
NOR,,,,,,,,,,,,
OMN,,,,,,,,,,,,
PAK,,,,,,,,,,,,
PLW,,,,,,,,,,,,
