Country,2011,2014,2017
Afghanistan,2.6,3.8,7.2
Albania,22.7,33.6,38.1
Algeria,20.4,40.1,29.3
Angola,38.9,22.3,22.3
Argentina,31.8,50.9,50.8
Armenia,18.1,14.7,40.9
Australia,98.6,99.0,99.2
Austria,96.6,97.4,98.4
Azerbaijan,14.3,25.9,27.7
Bahrain,48.8,66.7,75.4
Bangladesh,26.0,26.5,35.8
Belarus,58.1,72.0,81.3
Belgium,97.2,99.5,98.8
Belize,,52.3,52.3
Benin,9.8,13.6,28.6
Bhutan,,27.7,27.7
Bolivia (Plurinational State of),25.1,38.0,53.9
Bosnia and Herzegovina,47.7,47.1,54.7
Botswana,28.4,48.7,46.8
Brazil,51.0,64.8,67.5
Bulgaria,55.5,63.2,73.6
Burkina Faso,10.8,12.6,34.5
Burundi,5.9,6.7,6.7
Cambodia,3.7,20.5,21.5
Cameroon,10.9,10.2,30.0
Canada,97.2,99.2,99.9
Central African Republic,3.4,,9.7
Chad,6.8,7.8,14.8
Chile,41.0,59.2,71.3
China,60.0,76.3,76.4
Colombia,25.4,34.0,42.5
Comoros,17.9,17.9,17.9
Congo,7.6,15.0,21.0
Congo (Democratic Republic of the),2.8,14.3,24.2
Costa Rica,40.7,60.2,60.9
Croatia,87.2,87.7,82.7
Cyprus,83.1,90.3,90.0
Czechia,80.5,79.4,78.6
Côte d'Ivoire,,29.2,35.6
Denmark,99.5,100.0,100.0
Djibouti,8.8,8.8,8.8
Dominican Republic,37.4,56.0,54.1
Ecuador,33.2,40.8,42.6
Egypt,6.5,9.3,27.0
El Salvador,10.1,31.9,24.4
Estonia,97.3,97.5,98.4
Eswatini (Kingdom of),27.4,27.4,27.4
Ethiopia,,21.0,29.1
Finland,99.8,100.0,99.6
France,96.6,95.5,91.3
Gabon,17.2,30.7,53.7
Georgia,34.9,39.8,63.6
Germany,98.7,99.4,99.2
Ghana,27.1,39.4,53.7
Greece,75.7,86.6,84.5
Guatemala,15.6,34.7,42.1
Guinea,2.9,4.1,19.7
Haiti,21.1,16.1,30.0
Honduras,14.9,27.0,41.0
"Hong Kong, China (SAR)",89.1,96.3,94.7
Hungary,73.1,72.5,72.2
India,26.5,43.1,76.6
Indonesia,19.2,37.5,51.4
Iran (Islamic Republic of),61.9,87.3,91.6
Iraq,7.5,7.4,19.5
Ireland,92.2,94.8,95.3
Israel,92.4,90.0,93.7
Italy,64.3,83.2,91.6
Jamaica,67.1,77.8,77.8
Japan,96.8,97.0,98.1
Jordan,17.4,15.5,26.6
Kazakhstan,43.7,55.6,60.3
Kenya,39.2,71.1,77.7
Korea (Republic of),93.1,93.4,94.7
Kuwait,79.6,64.0,73.5
Kyrgyzstan,3.9,18.9,38.9
Lao People's Democratic Republic,26.2,,31.9
Latvia,92.0,90.2,92.5
Lebanon,25.9,32.9,32.9
Lesotho,16.9,,46.5
Liberia,14.7,,28.2
Libya,,,59.6
Lithuania,76.1,77.9,81.0
Luxembourg,95.3,96.7,98.2
Madagascar,4.6,8.4,16.3
Malawi,16.9,14.0,29.8
Malaysia,63.1,78.1,82.5
Mali,6.9,14.7,25.7
Malta,94.1,95.6,97.0
Mauritania,12.1,21.0,15.5
Mauritius,74.7,80.0,87.1
Mexico,22.0,38.9,33.3
Moldova (Republic of),17.2,19.0,44.6
Mongolia,82.4,93.2,95.0
Montenegro,48.9,57.9,67.6
Morocco,,,16.8
Mozambique,,,32.9
Myanmar,,17.4,26.0
Namibia,,56.8,80.7
Nepal,21.2,31.3,41.6
Netherlands,98.4,99.2,99.8
New Zealand,99.4,99.2,99.3
Nicaragua,12.8,14.4,24.8
Niger,1.5,4.3,10.9
Nigeria,26.0,34.0,27.3
Norway,,100.0,100.0
Oman,63.5,63.5,63.5
Pakistan,3.0,4.8,7.0
"Palestine, State of",10.2,21.2,15.9
Panama,23.3,40.3,42.3
Paraguay,22.7,,46.0
Peru,17.6,22.5,34.4
Philippines,33.7,37.9,38.9
Poland,68.3,73.0,88.0
Portugal,77.8,86.1,90.6
Qatar,61.6,61.6,61.6
Romania,41.1,56.9,53.6
Russian Federation,47.7,70.2,76.1
Rwanda,28.2,35.3,45.0
Saudi Arabia,15.2,61.1,58.2
Senegal,5.5,11.4,38.5
Serbia,62.3,83.0,70.1
Sierra Leone,12.8,12.5,15.4
Singapore,98.2,96.1,96.3
Slovakia,78.9,80.0,83.1
Slovenia,98.1,97.0,96.9
Somalia,,33.7,33.7
South Africa,51.0,70.4,70.0
South Sudan,,,4.7
Spain,91.7,97.6,91.6
Sri Lanka,67.2,83.1,73.4
Sudan,4.4,10.0,10.0
Sweden,99.0,99.8,100.0
Switzerland,,96.7,98.9
Syrian Arab Republic,19.6,19.6,19.6
Tajikistan,2.1,9.1,42.1
Tanzania (United Republic of),13.8,34.3,42.2
Thailand,72.6,75.4,79.8
The former Yugoslav Republic of Macedonia,71.5,64.0,72.9
Togo,9.2,15.1,37.6
Trinidad and Tobago,69.9,,73.6
Tunisia,,20.7,28.4
Turkey,32.7,44.5,54.3
Turkmenistan,0.8,,35.5
Uganda,15.1,36.6,52.7
Ukraine,39.2,51.7,61.3
United Arab Emirates,47.2,67.7,76.4
United Kingdom,97.7,98.7,96.1
United States,84.1,94.8,92.7
Uruguay,23.8,41.3,60.6
Uzbekistan,21.3,39.3,36.0
Venezuela (Bolivarian Republic of),36.2,53.3,70.0
Viet Nam,18.9,32.0,30.4
Yemen,1.1,1.7,1.7
Zambia,23.3,33.2,40.3
Zimbabwe,37.1,29.0,51.7
