Country,2010/2017
Albania,-3.0
Angola,-2.7
Argentina,-3.9
Armenia,-1.2
Australia,0.6
Austria,1.0
Azerbaijan,-3.9
Bangladesh,-2.6
Belarus,-4.3
Belgium,0.5
Belize,-3.2
Benin,0.6
Bolivia (Plurinational State of),-4.6
Bosnia and Herzegovina,-3.4
Brazil,-1.7
Bulgaria,1.8
Burkina Faso,-1.6
Burundi,-1.4
Cambodia,-4.7
Cameroon,0.1
Canada,-1.1
Central African Republic,0.0
Chad,-0.4
Chile,-2.5
China,-5.3
Colombia,-2.5
Comoros,0.5
Congo,-4.1
Congo (Democratic Republic of the),-2.3
Costa Rica,-1.8
Croatia,-5.9
Cyprus,-0.1
Czechia,-1.7
Côte d'Ivoire,0.3
Denmark,2.4
Djibouti,-0.6
Dominican Republic,-2.2
Ecuador,-0.3
Egypt,0.9
El Salvador,-2.8
Estonia,-1.4
Eswatini (Kingdom of),-2.4
Ethiopia,-2.5
Finland,-3.6
France,1.6
Gabon,0.9
Gambia,-0.7
Georgia,-3.7
Germany,0.1
Ghana,2.0
Greece,4.6
Guatemala,-2.3
Guinea,-1.9
Guinea-Bissau,-1.0
Guyana,0.0
Haiti,-0.6
Honduras,-2.3
Hungary,-1.2
Iceland,-1.3
India,-1.4
Indonesia,0.9
Ireland,-0.3
Israel,0.3
Italy,0.3
Jamaica,0.3
Jordan,-2.3
Kazakhstan,-5.9
Kenya,-2.4
Korea (Republic of),-2.0
Kyrgyzstan,-5.0
Lao People's Democratic Republic,0.7
Latvia,-0.8
Lesotho,-1.3
Liberia,-2.2
Lithuania,0.3
Luxembourg,2.1
Madagascar,-1.6
Malawi,-0.8
Maldives,7.1
Mali,-1.6
Mauritania,-0.9
Mexico,0.2
Moldova (Republic of),-3.3
Mongolia,-1.4
Montenegro,-1.4
Mozambique,-4.0
Namibia,-3.1
Nepal,-2.8
Netherlands,-0.3
Nicaragua,-1.0
Niger,-2.0
Nigeria,-2.4
Norway,3.0
Pakistan,-0.2
Panama,-3.6
Paraguay,0.5
Peru,-5.3
Philippines,-0.8
Poland,-2.3
Portugal,2.0
Romania,-0.5
Russian Federation,-2.5
Rwanda,-2.7
Senegal,-1.4
Serbia,5.9
Sierra Leone,-1.0
Slovakia,0.2
Slovenia,-2.6
South Africa,1.0
Spain,8.2
Sri Lanka,-2.7
Suriname,-1.0
Sweden,1.2
Switzerland,1.5
Tajikistan,-4.1
Tanzania (United Republic of),-1.8
Thailand,-3.7
The former Yugoslav Republic of Macedonia,-3.5
Timor-Leste,-2.4
Togo,-0.5
Tunisia,-1.8
Turkey,-4.9
Turkmenistan,-4.3
Uganda,-1.7
Ukraine,-2.8
United Kingdom,-0.5
United States,3.0
Uruguay,-1.6
Venezuela (Bolivarian Republic of),-3.2
Viet Nam,0.8
Yemen,-1.0
Zambia,1.2
