Country,2010-2017
Albania,1.0
Algeria,1.0
Angola,2.1
Argentina,2.1
Armenia,1.3
Australia,1.4
Austria,1.1
Azerbaijan,0.6
Bangladesh,1.3
Belarus,1.0
Belgium,1.0
Benin,2.9
Bhutan,1.8
Bolivia (Plurinational State of),2.4
Bosnia and Herzegovina,1.3
Botswana,5.8
Brazil,3.5
Bulgaria,1.6
Burkina Faso,1.5
Burundi,1.7
Cabo Verde,2.7
Cameroon,2.7
Canada,1.3
Central African Republic,4.5
Chad,2.2
Chile,2.8
China,2.1
Colombia,3.4
Comoros,2.5
Congo,3.1
Congo (Democratic Republic of the),2.1
Costa Rica,3.0
Croatia,1.1
Cyprus,1.4
Czechia,0.9
Côte d'Ivoire,2.0
Denmark,1.0
Djibouti,2.3
Dominican Republic,2.5
Ecuador,2.4
Egypt,1.3
El Salvador,1.9
Estonia,1.2
Eswatini (Kingdom of),3.5
Ethiopia,1.8
Fiji,1.6
Finland,1.0
France,1.3
Gabon,2.1
Gambia,1.5
Georgia,1.5
Germany,1.2
Ghana,2.1
Greece,1.5
Guatemala,2.9
Guinea,1.3
Guinea-Bissau,3.3
Haiti,2.0
Honduras,3.4
Hungary,1.1
Iceland,0.9
India,1.5
Indonesia,1.8
Iran (Islamic Republic of),1.7
Iraq,1.1
Ireland,1.2
Israel,2.0
Italy,1.4
Japan,1.2
Jordan,1.4
Kazakhstan,0.9
Kenya,2.9
Kiribati,1.6
Korea (Republic of),1.2
Kyrgyzstan,1.0
Lao People's Democratic Republic,1.6
Latvia,1.4
Lebanon,1.2
Lesotho,4.3
Liberia,1.3
Lithuania,1.6
Luxembourg,1.2
Madagascar,2.1
Malawi,2.5
Malaysia,2.6
Maldives,1.7
Mali,1.3
Malta,1.1
Mauritania,1.3
Mauritius,1.5
Mexico,2.3
Micronesia (Federated States of),1.8
Moldova (Republic of),0.9
Mongolia,1.3
Montenegro,1.2
Morocco,1.9
Mozambique,3.9
Myanmar,1.7
Namibia,5.8
Nepal,1.3
Netherlands,1.1
Nicaragua,2.6
Niger,1.4
Nigeria,2.2
Norway,1.0
Pakistan,1.2
"Palestine, State of",1.4
Panama,3.4
Papua New Guinea,2.0
Paraguay,2.9
Peru,2.3
Philippines,1.9
Poland,1.2
Portugal,1.5
Romania,1.0
Russian Federation,1.6
Rwanda,3.2
Samoa,2.1
Sao Tome and Principe,1.1
Senegal,1.9
Serbia,1.0
Seychelles,2.6
Sierra Leone,1.4
Slovakia,0.9
Slovenia,0.9
Solomon Islands,1.6
South Africa,7.0
South Sudan,2.7
Spain,1.5
Sri Lanka,1.9
Sudan,1.4
Sweden,1.0
Switzerland,1.3
Tajikistan,1.4
Tanzania (United Republic of),1.7
Thailand,1.6
The former Yugoslav Republic of Macedonia,1.4
Timor-Leste,1.1
Togo,2.2
Tonga,1.6
Tunisia,1.5
Turkey,2.1
Tuvalu,1.8
Uganda,2.0
Ukraine,0.9
United Kingdom,1.3
United States,2.0
Uruguay,1.8
Vanuatu,1.6
Venezuela (Bolivarian Republic of),2.8
Viet Nam,1.4
Yemen,1.6
Zambia,5.0
Zimbabwe,2.2
