"Proportion of schools with access to the Internet (%)"
"HDI Rank","Country","2008-2013"
"68"," Albania","96  a"
"85"," Algeria","53  a"
"35"," Andorra","100  a"
"70"," Antigua and Barbuda","88  a"
"47"," Argentina","36  a"
"83"," Armenia","100  a"
"20"," Austria","100  a"
"80"," Azerbaijan","27  a,b"
"43"," Bahrain","100  a"
"136"," Bangladesh","5  a,b"
"58"," Barbados","100  a,b"
"53"," Belarus","61  a,b"
"17"," Belgium","100  a"
"134"," Bhutan","43  a,b"
"77"," Bosnia and Herzegovina","100  a"
"101"," Botswana","23  a"
"79"," Brazil","46  a"
"39"," Brunei Darussalam","100  a"
"146"," Cambodia","7  a,b"
"44"," Chile","78  a,b"
"90"," Colombia","71  a,b"
"63"," Costa Rica","39  a"
"46"," Croatia","100  a"
"32"," Cyprus","100  a"
"27"," Czechia","100  a"
"11"," Denmark","100  a"
"103"," Dominica","71  a"
"94"," Dominican Republic","5  a,b"
"86"," Ecuador","22  a"
"115"," Egypt","49  a"
"121"," El Salvador","24  a"
"30"," Estonia","99  a"
"173"," Ethiopia","2  a"
"15"," Finland","100  a"
"70"," Georgia","100  a"
"75"," Grenada","61  a"
"125"," Guyana","4  a,b,c"
"7"," Hong Kong, China (SAR)","100  a"
"45"," Hungary","99  a"
"116"," Indonesia","42  a,c"
"60"," Iran (Islamic Republic of)","87  a"
"97"," Jamaica","93  a,b,d"
"19"," Japan","99  a,b"
"95"," Jordan","85  a"
"58"," Kazakhstan","97  a"
"22"," Korea (Republic of)","100  a"
"122"," Kyrgyzstan","6  a"
"41"," Latvia","100  a"
"159"," Lesotho","10  a"
"35"," Lithuania","100  a"
"57"," Malaysia","91  a"
"101"," Maldives","100  a,b"
"29"," Malta","100  a"
"65"," Mauritius","85  a"
"74"," Mexico","12  a,b,e"
"92"," Mongolia","91  a"
"123"," Morocco","3  a"
"149"," Nepal","5  a"
"124"," Nicaragua","6  a,c"
"1"," Norway","100  a"
"48"," Oman","90  a"
"119"," Palestine, State of","30  a,f"
"66"," Panama","22  a"
"110"," Paraguay","9  a"
"113"," Philippines","12  a,b,c"
"33"," Poland","81  a"
"37"," Qatar","53  a"
"49"," Russian Federation","80  a,b"
"72"," Saint Kitts and Nevis","100  a"
"90"," Saint Lucia","100  a"
"99"," Saint Vincent and the Grenadines","68  a"
"164"," Senegal","5  a"
"9"," Singapore","100  a,b"
"26"," Spain","100  a"
"76"," Sri Lanka","18  a"
"167"," Sudan","4  a"
"100"," Suriname","6  a,d,g"
"7"," Sweden","100  a"
"83"," Thailand","98  a"
"69"," Trinidad and Tobago","56  a,b"
"95"," Tunisia","81  a"
"64"," Turkey","86  a"
"14"," United Kingdom","100  a"
"55"," Uruguay","96  a"
"<a name="a"></a>a: Data refer to the most recent year available during the period specified.<br /><a name="a"></a>b: Public institutions only.<br /><a name="a"></a>c: Refers only to ISCED levels 1 and 2.<br /><a name="a"></a>d: Refers only to ISCED level 3.<br /><a name="a"></a>e: Refers only to International Standard Classification of Education (ISCED) level 2.<br /><a name="a"></a>f: Refers to West Bank schools only.<br /><a name="a"></a>g: There are no private institutions at ISCED level 3.<br />"
