Country,1990,1995,2000,2005,2010,2015
Afghanistan,-24.7,31.7,-4.1,8.2,-5.8,2.9
Albania,-0.0,-27.8,-11.5,-11.4,-14.4,-6.4
Algeria,-0.8,-0.9,-1.1,-1.3,-2.1,-0.8
Angola,-2.7,2.2,-1.7,1.9,0.8,0.7
Antigua and Barbuda,-22.4,7.5,11.3,-0.7,-0.2,-0.1
Argentina,1.0,0.2,-0.4,-0.5,-0.4,0.1
Armenia,-3.9,-29.4,-14.2,-10.6,-12.5,-2.1
Australia,8.1,4.0,4.1,5.9,10.6,8.0
Austria,2.9,5.8,1.6,4.4,3.7,6.3
Azerbaijan,-4.6,-3.1,-2.8,0.9,1.2,0.0
Bahamas,-0.9,-0.3,-2.1,9.9,8.3,5.2
Bahrain,5.6,2.1,12.8,40.0,51.1,6.4
Bangladesh,-0.4,-1.4,-1.2,-2.2,-4.8,-3.2
Barbados,-3.2,-2.5,-1.0,-0.1,1.5,1.5
Belarus,-0.5,-1.2,1.1,-0.1,1.3,1.6
Belgium,0.9,2.1,1.0,4.2,5.5,4.7
Belize,-6.1,-9.1,10.5,4.4,5.8,4.5
Benin,-0.4,2.5,-0.1,0.7,-1.1,-0.9
Bhutan,0.6,-32.7,0.1,9.4,4.9,2.6
Bolivia (Plurinational State of),-3.3,-2.5,-2.1,-2.1,-1.8,-1.2
Bosnia and Herzegovina,-6.1,-35.0,-8.4,-0.3,-3.2,-8.9
Botswana,0.9,2.4,3.0,2.4,1.9,1.4
Brazil,0.0,0.0,0.0,0.0,0.0,0.0
Brunei Darussalam,2.4,2.8,2.0,1.9,-1.1,1.0
Bulgaria,-4.1,-8.3,-3.3,-2.2,-2.2,-0.7
Burkina Faso,-4.4,-3.2,-2.5,-2.0,-1.7,-1.5
Burundi,-6.0,-10.6,-14.4,1.5,2.5,-1.5
Cabo Verde,-16.9,-3.5,-2.6,-4.3,-7.2,-4.3
Cambodia,-1.9,8.3,6.1,-0.6,-4.3,-2.0
Cameroon,-0.4,-0.8,-0.7,-0.7,-0.6,-0.3
Canada,6.5,4.9,5.1,6.5,7.4,6.5
Central African Republic,-3.2,3.2,1.4,-1.2,-5.9,-17.6
Chad,0.1,-0.3,1.8,4.8,1.4,1.5
Chile,-0.3,0.2,0.3,0.5,0.7,0.9
China,-0.1,-0.1,-0.1,-0.3,-0.4,-0.2
Colombia,-1.6,-1.2,-1.0,-0.8,-0.6,-0.6
Comoros,-2.3,-1.4,-2.4,-3.5,-3.1,-2.7
Congo,0.2,1.7,3.3,2.9,4.7,-2.6
Congo (Democratic Republic of the),0.5,6.8,-4.5,-0.9,-0.1,0.0
Costa Rica,1.2,4.2,4.8,2.0,1.4,0.8
Croatia,1.1,-6.1,-8.3,-0.1,-0.5,-1.5
Cuba,-1.4,-2.2,-2.4,-2.6,-3.2,-1.3
Cyprus,4.7,10.7,11.8,11.7,11.0,4.0
Czechia,0.1,0.6,0.9,0.9,4.8,1.1
Côte d'Ivoire,5.8,5.6,2.3,-4.2,-2.3,0.6
Denmark,1.3,2.5,2.8,1.7,3.2,3.8
Djibouti,35.4,-14.7,3.0,-2.4,-0.4,1.4
Dominican Republic,-3.9,-3.8,-3.6,-3.4,-3.2,-3.0
Ecuador,-0.4,-0.4,-1.2,-1.8,-0.6,-0.5
Egypt,-0.8,-1.5,-0.6,-0.2,-0.7,-0.6
El Salvador,-10.1,-9.8,-11.4,-10.5,-9.4,-7.7
Equatorial Guinea,10.2,8.6,12.5,14.6,18.7,16.9
Eritrea,-2.7,-25.8,-4.3,6.0,-7.7,-6.9
Estonia,2.0,-14.9,-0.2,-2.7,-2.3,-1.6
Eswatini (Kingdom of),4.4,-8.4,-2.4,-8.5,-1.0,-1.0
Ethiopia,3.5,5.6,-0.5,-0.2,-0.1,-0.1
Fiji,-18.6,-9.5,-10.7,-15.1,-6.8,-6.6
Finland,0.7,1.9,0.9,1.2,2.2,3.0
France,1.7,1.1,1.3,1.6,1.7,1.1
Gabon,1.1,1.0,1.7,4.7,9.0,9.6
Gambia,11.7,-3.0,-4.6,-2.1,-1.8,-1.5
Georgia,-1.6,-20.9,-15.0,-12.1,-13.7,-14.9
Germany,4.4,6.6,1.7,2.0,0.1,4.4
Ghana,-0.4,-0.2,-1.3,1.6,1.6,-0.4
Greece,3.5,8.8,5.4,2.0,1.4,-2.9
Grenada,-30.6,-8.0,-9.7,-8.1,-8.2,-8.1
Guatemala,-6.9,-7.5,-7.3,-4.5,-1.6,-0.6
Guinea,5.8,23.0,-5.9,-8.0,-5.9,-4.4
Guinea-Bissau,-5.9,-5.6,-9.9,-6.1,-3.4,-1.2
Guyana,-27.1,-15.4,-21.2,-17.1,-14.8,-7.2
Haiti,-4.0,-3.8,-3.5,-3.1,-2.9,-2.9
Honduras,-3.2,-2.9,-2.1,-1.2,-0.6,-0.3
"Hong Kong, China (SAR)",8.0,5.3,11.7,1.9,2.6,2.1
Hungary,-1.7,1.9,1.5,1.2,0.5,0.6
Iceland,0.5,-0.8,0.7,2.0,7.8,-1.3
India,0.0,-0.1,-0.1,-0.4,-0.5,-0.4
Indonesia,-0.2,-0.4,-0.3,-0.8,-0.6,-0.7
Iran (Islamic Republic of),5.2,-7.2,1.9,-0.2,-1.5,-1.0
Iraq,-7.6,-1.6,-0.2,-2.1,-3.2,2.8
Ireland,-6.5,-0.6,4.4,9.9,9.0,-6.0
Israel,3.0,18.6,8.6,3.3,7.8,0.5
Italy,-0.0,0.5,0.8,5.6,3.4,0.9
Jamaica,-12.3,-8.2,-6.4,-6.3,-6.3,-6.5
Japan,-0.5,0.1,-0.2,0.3,0.4,0.6
Jordan,10.6,20.3,-6.2,-3.5,20.2,23.9
Kazakhstan,-8.1,-17.3,-17.0,0.6,-0.4,1.9
Kenya,0.0,1.7,-0.1,0.1,-1.0,-0.2
Kiribati,-2.2,-12.3,-7.3,-4.6,-1.2,-4.0
Korea (Democratic People's Rep. of),0.0,0.0,-0.1,-0.1,-0.2,-0.2
Korea (Republic of),0.8,0.3,0.7,0.3,-0.6,0.7
Kuwait,12.5,-70.6,26.4,2.5,36.4,38.7
Kyrgyzstan,-6.1,-12.4,-1.1,-6.9,-2.9,-4.9
Lao People's Democratic Republic,0.0,-2.7,-5.3,-5.3,-3.7,-5.5
Latvia,3.2,-9.0,-3.8,-6.3,-7.9,-8.1
Lebanon,-17.0,6.3,-1.9,30.5,8.8,49.1
Lesotho,-8.2,-5.5,-8.2,-4.2,-4.0,-2.4
Liberia,-37.3,-28.8,36.3,-3.3,9.7,-0.9
Libya,0.3,0.2,-2.2,-0.7,-4.0,-14.0
Lithuania,2.0,-5.5,-5.3,-5.8,-9.3,-9.7
Luxembourg,6.9,10.1,9.4,6.5,17.5,18.1
Madagascar,-0.2,-0.2,-0.1,-0.1,-0.1,-0.1
Malawi,21.5,-19.4,-0.7,-0.6,-0.5,-0.4
Malaysia,5.2,3.1,4.5,5.3,5.3,5.3
Maldives,-2.5,-2.6,-0.8,9.2,10.5,11.2
Mali,-11.8,-3.8,-2.8,-1.1,-1.4,-3.7
Malta,0.7,2.0,3.3,2.7,3.2,4.5
Mauritania,-3.2,-2.8,1.0,0.5,0.6,2.1
Mauritius,-6.9,-1.0,-1.5,-3.2,-2.0,-1.9
Mexico,-4.4,-2.9,-4.8,-5.5,-0.4,-0.5
Micronesia (Federated States of),-5.4,-4.4,-25.3,-24.1,-23.1,-15.8
Moldova (Republic of),-3.9,-6.1,-7.7,-0.6,-2.3,-0.5
Mongolia,0.0,-7.9,-4.5,-1.2,-1.1,-1.1
Montenegro,-9.8,-6.6,-7.0,-2.6,-0.2,-1.0
Morocco,-3.5,-3.6,-4.0,-4.4,-3.6,-1.8
Mozambique,-19.8,9.0,-0.6,0.3,-0.4,-0.2
Myanmar,-1.0,-3.3,-2.4,-5.3,-5.9,-1.9
Namibia,11.7,3.1,4.0,-5.1,-4.8,-0.1
Nepal,-2.4,0.8,-4.1,-6.5,-7.8,-2.7
Netherlands,1.9,2.5,2.3,1.8,0.8,0.7
New Zealand,-0.6,6.7,2.3,6.7,2.9,4.0
Nicaragua,-7.6,-5.5,-6.0,-6.7,-5.6,-4.6
Niger,-2.5,-0.1,0.5,-0.5,-0.4,-0.3
Nigeria,-0.2,-0.2,-0.2,-0.3,-0.4,-0.4
Norway,1.8,2.2,2.7,3.0,6.9,8.8
Oman,1.3,10.4,-17.3,1.3,19.2,45.2
Pakistan,0.3,-1.7,-1.1,-0.9,-1.7,-1.3
"Palestine, State of",-4.1,3.0,4.8,-11.2,-4.7,-2.0
Panama,-0.8,0.1,0.7,1.0,1.3,1.5
Papua New Guinea,-0.1,-0.1,-0.1,-0.0,-0.0,-0.0
Paraguay,-0.9,-1.4,-1.7,-1.7,-3.9,-2.7
Peru,-1.8,-2.6,-4.3,-4.7,-3.4,-1.6
Philippines,-1.0,-1.5,-2.1,-2.7,-3.3,-1.3
Poland,-1.6,-0.8,-0.4,-1.0,-0.9,-0.4
Portugal,-3.0,3.0,3.4,3.4,1.7,-2.7
Qatar,27.1,-4.1,10.7,58.7,127.3,56.5
Romania,-1.7,-4.5,-5.4,-4.3,-7.4,-3.0
Russian Federation,1.2,3.4,3.1,2.4,3.0,1.4
Rwanda,0.9,-41.0,34.7,-1.7,-1.6,-1.4
Saint Lucia,-6.4,-6.7,-1.2,-0.3,3.4,0.0
Saint Vincent and the Grenadines,-13.4,-16.1,-14.7,-9.6,-9.4,-9.1
Samoa,-23.1,-16.5,-20.1,-17.7,-16.8,-13.4
Sao Tome and Principe,-11.0,-9.3,-12.5,-7.6,-6.8,-6.0
Saudi Arabia,9.9,-1.3,-3.5,6.5,7.8,10.8
Senegal,-1.7,-1.7,-4.5,-2.9,-2.7,-1.4
Serbia,-0.6,3.7,-10.2,-5.9,-2.6,-2.2
Seychelles,-15.1,1.7,-0.3,5.9,-5.6,-4.8
Sierra Leone,3.1,-21.0,-6.8,19.6,2.0,-0.6
Singapore,8.4,15.3,13.8,20.7,18.8,12.7
Slovakia,-1.4,-0.6,-0.1,0.0,-0.3,0.4
Slovenia,3.3,-1.7,0.1,1.5,3.9,1.6
Solomon Islands,-1.3,-0.6,-0.4,-2.2,-4.8,-4.3
Somalia,-11.3,-21.4,-2.4,-3.8,-3.3,-3.5
South Africa,-0.7,3.7,1.4,2.5,2.5,3.0
South Sudan,-14.4,-38.3,13.2,11.7,17.3,7.7
Spain,-0.3,1.6,4.5,13.4,9.9,-2.4
Sri Lanka,-1.6,-2.9,-5.0,-4.7,-5.2,-4.7
Sudan,1.6,5.9,-4.9,-3.8,-6.6,-3.2
Suriname,-2.5,-2.4,-4.4,-3.8,-2.5,-1.9
Sweden,3.2,3.6,1.3,3.2,5.7,5.3
Switzerland,4.0,7.2,1.8,5.1,9.1,9.8
Syrian Arab Republic,-2.5,-1.0,-1.7,-4.4,3.8,-41.8
Tajikistan,-2.8,-10.5,-9.8,-2.5,-2.0,-2.5
Tanzania (United Republic of),0.6,4.3,-1.3,-1.6,-1.2,-0.8
Thailand,1.9,-2.1,2.3,1.2,0.2,0.5
The former Yugoslav Republic of Macedonia,-9.9,-10.1,-0.5,-1.4,-0.7,-0.9
Timor-Leste,-1.4,-1.0,-35.8,0.8,-17.6,-8.5
Togo,-1.1,-4.7,3.5,-0.4,-0.3,-0.3
Tonga,-23.1,-23.2,-17.9,-16.3,-16.0,-15.3
Trinidad and Tobago,-7.5,-5.2,-5.2,-2.1,-1.7,-0.7
Tunisia,1.3,3.2,-0.8,-2.8,-0.6,-1.2
Turkey,-0.4,-0.4,-0.3,-0.1,-0.1,4.3
Turkmenistan,-2.3,2.2,-3.0,-5.4,-2.5,-1.9
Uganda,2.9,1.3,-0.4,-0.0,-0.9,-0.8
Ukraine,0.0,0.3,-1.9,-0.7,1.2,-0.9
United Arab Emirates,32.2,34.2,34.6,60.0,103.7,11.0
United Kingdom,0.3,0.7,1.7,3.2,6.6,3.1
United States,2.8,3.5,6.3,3.6,3.3,2.9
Uruguay,-2.0,-1.3,-1.6,-6.3,-3.0,-1.8
Uzbekistan,-3.6,-3.0,-2.0,-1.9,-1.0,-0.4
Vanuatu,-4.0,-0.4,-8.0,-0.5,1.0,0.5
Venezuela (Bolivarian Republic of),0.0,-0.0,-0.0,-0.1,-0.2,-0.5
Viet Nam,-1.0,-1.1,-0.6,-1.6,-2.0,-0.4
Yemen,-0.9,9.0,-1.2,-1.2,-0.6,-0.6
Zambia,0.1,-0.5,1.6,-1.6,-1.9,-0.5
Zimbabwe,1.8,-3.7,-3.7,-5.6,-4.4,-3.3
