[Dimension] Attribute,Mean,Variance
Human Development Index (HDI),0.6550672692873659,0.02746214514900737
[Demography] Median age (years),25.90945945945946,66.50991952763574
[Demography] Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),11.682117117117118,60.23818020249979
"[Demography] Population, ages 15–64 (millions)",23.79787234042553,8655.247152557717
"[Demography] Population, ages 65 and older (millions)",2.8222522522522526,111.66196429672917
"[Demography] Population, total (millions)",34.80264957264957,17632.790651099418
"[Demography] Population, under age 5 (millions)",3.520810810810811,139.56762997321644
"[Demography] Population, urban (%)",55.90358974358974,555.8484144641684
[Demography] Sex ratio at birth (male to female births),1.051310810810811,0.00036936285609934265
[Demography] Young age (0-14) dependency ratio (per 100 people ages 15-64),51.26036036036036,578.1252485187891
[Education] Education Index,0.5779826105174943,0.03525778494797255
[Education] Expected years of schooling (years),11.748269155970439,11.199152002234177
"[Education] Expected years of schooling, female (years)",12.53820939334638,13.49383847670237
"[Education] Expected years of schooling, male (years)",12.51742535487029,8.319432039827028
[Education] Government expenditure on education (% of GDP),4.477690802348337,3.043142221422252
"[Education] Gross enrolment ratio, pre-primary (% of preschool-age children)",57.831076265146116,1178.2572808801422
"[Education] Gross enrolment ratio, primary (% of primary school-age population)",101.44451109778045,249.82460544483783
"[Education] Gross enrolment ratio, secondary (% of secondary school-age population)",78.40638002773925,912.2800702522502
"[Education] Gross enrolment ratio, tertiary (% of tertiary school-age population)",34.65015479876161,691.1624380565327
"[Education] Literacy rate, adult (% ages 15 and older)",83.2059171597633,368.467775638108
[Education] Mean years of schooling (years),7.428272142708982,10.066358951866578
"[Education] Mean years of schooling, female (years)",7.503728294177732,12.631073944562054
"[Education] Mean years of schooling, male (years)",8.310736196319018,8.75572317989637
[Education] Population with at least some secondary education (% ages 25 and older),56.29484425349087,809.3616168124777
"[Education] Population with at least some secondary education, female (% ages 25 and older)",54.07509234828496,912.7587885798623
"[Education] Population with at least some secondary education, male (% ages 25 and older)",59.15187533016376,758.8623591350122
[Education] Primary school dropout rate (% of primary school cohort),16.01361079865017,318.47228943682376
[Education] Primary school teachers trained to teach (%),82.1701030927835,361.1102401955574
[Education] Programme for International Student Assessment (PISA) score in mathematics,460.67164179104475,2782.2802405881043
[Education] Programme for International Student Assessment (PISA) score in reading,462.02985074626866,2439.9095566941414
[Education] Programme for International Student Assessment (PISA) score in science,465.65671641791045,2327.150813098686
[Education] Proportion of schools with access to the Internet (%),65.66666666666667,1397.0555555555554
"[Education] Pupil-teacher ratio, primary school (number of pupils per teacher)",25.463120567375885,190.8330370705699
[Education] Survival rate to the last grade of lower secondary general education (%),86.31200897867565,189.11477160934703
[Environmental Sustainability] Carbon dioxide emissions (kg per 2011 PPP $ of GDP),0.269683426443203,0.04677476011637867
[Environmental Sustainability] Carbon dioxide emissions per capita (tonnes),4.47223208999408,39.25982693014844
[Environmental Sustainability] Forest area (% of total land area),31.983106694560668,572.8135901392438
"[Environmental Sustainability] Forest area, change (%)",2.853763440860215,942.4514105676956
[Environmental Sustainability] Fossil fuel energy consumption (% of total energy consumption),64.99821843532146,923.8504615820303
[Environmental Sustainability] Fresh water withdrawals (% of total renewable water resources),51.50996015936256,36235.28782908207
"[Environmental Sustainability] Mortality rate attributed to household and ambient air pollution (per 100,000 population)",92.21256830601094,5146.2945414912365
"[Environmental Sustainability] Mortality rate attributed to unsafe water, sanitation and hygiene services (per 100,000 population)",12.499453551912566,430.9061745647825
[Environmental Sustainability] Renewable energy consumption (% of total final energy consumption),32.83860294117647,922.5407944767979
