[Dimension] Attribute,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Human Development Index (HDI),142.0,143.0,140.0,143.0,143.0,147.0,147.0,147.0,147.0,150.0,172.0,172.0,174.0,176.0,179.0,186.0,186.0,186.0,186.0,186.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,189.0
[Demography] Median age (years),185.0,,,,,185.0,,,,,185.0,,,,,185.0,,,,,185.0,,,,,185.0,,
[Demography] Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),185.0,,,,,185.0,,,,,185.0,,,,,185.0,,,,,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0
"[Demography] Population, ages 15–64 (millions)",184.0,,,,,184.0,,,,,184.0,,,,,184.0,,,,,184.0,184.0,184.0,184.0,184.0,184.0,184.0,185.0
"[Demography] Population, ages 65 and older (millions)",185.0,,,,,185.0,,,,,185.0,,,,,185.0,,,,,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0
"[Demography] Population, total (millions)",195.0,,,,,195.0,,,,,195.0,,,,,195.0,,,,,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0
"[Demography] Population, under age 5 (millions)",185.0,,,,,185.0,,,,,185.0,,,,,185.0,,,,,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0
"[Demography] Population, urban (%)",195.0,,,,,195.0,,,,,195.0,,,,,195.0,,,,,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0
[Demography] Sex ratio at birth (male to female births),185.0,,,,,185.0,,,,,185.0,,,,,185.0,,,,,185.0,,,,,185.0,185.0,185.0
[Demography] Young age (0-14) dependency ratio (per 100 people ages 15-64),185.0,,,,,185.0,,,,,185.0,,,,,185.0,,,,,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0
[Education] Education Index,144.0,144.0,144.0,144.0,144.0,148.0,148.0,148.0,148.0,151.0,173.0,173.0,174.0,176.0,179.0,186.0,186.0,186.0,186.0,186.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,189.0
[Education] Expected years of schooling (years),172.0,172.0,172.0,172.0,172.0,175.0,175.0,175.0,175.0,178.0,186.0,187.0,187.0,187.0,187.0,188.0,188.0,188.0,188.0,189.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,192.0
"[Education] Expected years of schooling, female (years)",108.0,,,,,146.0,,,,,167.0,,,,,173.0,,,,,179.0,180.0,182.0,182.0,182.0,182.0,182.0,181.0
"[Education] Expected years of schooling, male (years)",107.0,,,,,145.0,,,,,168.0,,,,,173.0,,,,,179.0,180.0,182.0,182.0,182.0,182.0,182.0,181.0
[Education] Government expenditure on education (% of GDP),49.0,,,,,79.0,,,,,119.0,,,,,108.0,,,,,123.0,119.0,110.0,115.0,98.0,56.0,40.0,6.0
"[Education] Gross enrolment ratio, pre-primary (% of preschool-age children)",107.0,,,,,118.0,,,,,128.0,,,,,129.0,,,,,131.0,135.0,133.0,132.0,136.0,145.0,102.0,7.0
"[Education] Gross enrolment ratio, primary (% of primary school-age population)",144.0,,,,,149.0,,,,,161.0,,,,,166.0,,,,,154.0,158.0,158.0,149.0,150.0,154.0,113.0,11.0
"[Education] Gross enrolment ratio, secondary (% of secondary school-age population)",123.0,,,,,113.0,,,,,137.0,,,,,147.0,,,,,138.0,143.0,137.0,130.0,133.0,136.0,96.0,9.0
"[Education] Gross enrolment ratio, tertiary (% of tertiary school-age population)",120.0,,,,,109.0,,,,,110.0,,,,,119.0,,,,,127.0,133.0,130.0,119.0,120.0,118.0,80.0,7.0
"[Education] Literacy rate, adult (% ages 15 and older)",15.0,,,,,5.0,,,,,41.0,,,,,20.0,,,,,45.0,56.0,42.0,30.0,37.0,32.0,15.0,
[Education] Mean years of schooling (years),148.0,148.0,148.0,148.0,148.0,151.0,151.0,151.0,151.0,153.0,174.0,174.0,175.0,177.0,180.0,186.0,187.0,186.0,187.0,187.0,188.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0
"[Education] Mean years of schooling, female (years)",143.0,,,,,146.0,,,,,153.0,,,,,162.0,,,,,168.0,169.0,168.0,169.0,169.0,170.0,170.0,171.0
"[Education] Mean years of schooling, male (years)",142.0,,,,,145.0,,,,,153.0,,,,,162.0,,,,,168.0,169.0,168.0,169.0,169.0,170.0,170.0,171.0
[Education] Population with at least some secondary education (% ages 25 and older),143.0,,,,,143.0,,,,,146.0,,,,,152.0,,,,,146.0,153.0,159.0,161.0,162.0,163.0,167.0,167.0
