"Violence against women ever experienced, intimate partner (% of female population ages 15 and older)"
"HDI Rank","Country","2005-2018"
"168"," Afghanistan","50.8  a,b"
"68"," Albania","24.6  a,b"
"147"," Angola","34.8  a,b"
"83"," Armenia","8.2  a,b"
"3"," Australia","16.9  a,b"
"20"," Austria","13.0  a,b"
"80"," Azerbaijan","13.5  a,b"
"136"," Bangladesh","53.3  a,b"
"17"," Belgium","24.0  a,b"
"134"," Bhutan","26.5  a,b"
"51"," Bulgaria","23.0  a,b"
"183"," Burkina Faso","11.5  a,b"
"125"," Cabo Verde","12.6  a,b"
"146"," Cambodia","20.9  a,b"
"151"," Cameroon","51.1  a,b"
"188"," Central African Republic","29.8  a,b"
"186"," Chad","28.6  a,b"
"165"," Comoros","6.4  a,b"
"176"," Congo (Democratic Republic of the)","50.7  a,b"
"46"," Croatia","13.0  a,b"
"32"," Cyprus","15.0  a,b"
"27"," Czechia","21.0  a,b"
"170"," Côte d'Ivoire","25.9  a,b"
"11"," Denmark","32.0  a,b"
"94"," Dominican Republic","20.4  a,b"
"86"," Ecuador","37.5  a,b"
"115"," Egypt","25.6  a,b"
"121"," El Salvador","26.3  a,b"
"141"," Equatorial Guinea","56.9  a,b"
"30"," Estonia","20.0  a,b"
"173"," Ethiopia","28.0  a,b"
"92"," Fiji","64.1  a,b"
"15"," Finland","30.0  a,b"
"24"," France","26.0  a,b"
"110"," Gabon","48.6  a,b"
"174"," Gambia","20.1  a,b"
"70"," Georgia","6.1  a,b"
"5"," Germany","22.0  a,b"
"140"," Ghana","24.4  a,b"
"31"," Greece","19.0  a,b"
"127"," Guatemala","18.0  a,b"
"168"," Haiti","20.8  a,b"
"133"," Honduras","21.6  a,b"
"45"," Hungary","21.0  a,b"
"6"," Iceland","22.4  a,b"
"130"," India","28.7  a,b"
"116"," Indonesia","18.3  a,b"
"4"," Ireland","15.0  a,b"
"28"," Italy","19.0  a,b"
"97"," Jamaica","19.7  a,b"
"95"," Jordan","23.6  a,b"
"142"," Kenya","39.4  a,b"
"134"," Kiribati","67.6  a,b"
"122"," Kyrgyzstan","25.4  a,b"
"139"," Lao People's Democratic Republic","15.3  a,b"
"41"," Latvia","32.0  a,b"
"181"," Liberia","38.5  a,b"
"35"," Lithuania","24.0  a,b"
"21"," Luxembourg","22.0  a,b"
"171"," Malawi","37.5  a,b"
"101"," Maldives","19.5  a,b"
"182"," Mali","34.6  a,b"
"29"," Malta","15.0  a,b"
"106"," Marshall Islands","50.9  a,b"
"74"," Mexico","14.1  a,b"
"131"," Micronesia (Federated States of)","32.8  a,b"
"112"," Moldova (Republic of)","45.5  a,b"
"180"," Mozambique","21.7  a,b"
"148"," Myanmar","17.3  a,b"
"129"," Namibia","25.0  a,b"
"n.a"," Nauru","48.1  a,b"
"149"," Nepal","25.0  a,b"
"10"," Netherlands","25.0  a,b"
"124"," Nicaragua","22.5  a,b"
"157"," Nigeria","16.2  a,b"
"1"," Norway","27.0  a,b"
"60"," Palau","25.2  a,b"
"89"," Peru","33.2  a,b"
"113"," Philippines","16.9  a,b"
"33"," Poland","13.0  a,b"
"41"," Portugal","19.0  a,b"
"52"," Romania","24.0  a,b"
"158"," Rwanda","34.4  a,b"
"104"," Samoa","46.1  a,b"
"143"," Sao Tome and Principe","27.9  a,b"
"184"," Sierra Leone","45.3  a,b"
"9"," Singapore","6.1  a,b"
"38"," Slovakia","23.0  a,b"
"25"," Slovenia","13.0  a,b"
"152"," Solomon Islands","63.5  a,b"
"26"," Spain","13.0  a,b"
"7"," Sweden","28.0  a,b"
"127"," Tajikistan","20.3  a,b"
"154"," Tanzania (United Republic of)","41.7  a,b"
"132"," Timor-Leste","58.8  a,b"
"165"," Togo","22.1  a,b"
"98"," Tonga","39.6  a,b"
"69"," Trinidad and Tobago","30.2  a,b"
"64"," Turkey","38.0  a,b"
"n.a"," Tuvalu","36.8  a,b"
"162"," Uganda","49.9  a,b"
"88"," Ukraine","13.2  a,b"
"14"," United Kingdom","29.0  a,b"
"138"," Vanuatu","60.0  a,b"
"116"," Viet Nam","34.4  a,b"
"144"," Zambia","42.7  a,b"
"156"," Zimbabwe","35.4  a,b"
"<a name="a"></a>a: Data refer to the most recent year available during the period specified.<br /><a name="a"></a>b: Data collection methods, age ranges, sampled women (ever-partnered, ever-married or all women) and definitions of the forms of violence and of perpetrators vary by survey. Thus data are not necessarily comparable across countries.<br />"
