"Child marriage, women married by age 18 (% of women ages 20–24 years who are married or in union)"
"HDI Rank","Country","2003-2017"
"168"," Afghanistan","35  a"
"68"," Albania","10  a"
"85"," Algeria","3  a"
"147"," Angola","30  a"
"83"," Armenia","5  a"
"80"," Azerbaijan","11  a"
"136"," Bangladesh","59  a"
"58"," Barbados","11  a"
"53"," Belarus","3  a"
"106"," Belize","26  a"
"163"," Benin","26  a"
"134"," Bhutan","26  a"
"118"," Bolivia (Plurinational State of)","19  a"
"77"," Bosnia and Herzegovina","4  a"
"79"," Brazil","26  a"
"183"," Burkina Faso","52  a"
"185"," Burundi","20  a"
"125"," Cabo Verde","18  a"
"146"," Cambodia","19  a"
"151"," Cameroon","31  a"
"188"," Central African Republic","68  a"
"186"," Chad","67  a"
"90"," Colombia","23  a"
"165"," Comoros","32  a"
"137"," Congo","27  a"
"176"," Congo (Democratic Republic of the)","37  a"
"63"," Costa Rica","21  a"
"73"," Cuba","26  a"
"170"," Côte d'Ivoire","27  a"
"172"," Djibouti","5  a"
"94"," Dominican Republic","36  a"
"86"," Ecuador","22  a"
"115"," Egypt","17  a"
"121"," El Salvador","26  a"
"141"," Equatorial Guinea","30  a"
"179"," Eritrea","41  a"
"144"," Eswatini (Kingdom of)","5  a"
"173"," Ethiopia","40  a"
"110"," Gabon","22  a"
"174"," Gambia","30  a"
"70"," Georgia","14  a"
"140"," Ghana","21  a"
"127"," Guatemala","30  a"
"175"," Guinea","51  a"
"177"," Guinea-Bissau","24  a"
"125"," Guyana","30  a"
"168"," Haiti","18  a"
"133"," Honduras","34  a"
"130"," India","27  a"
"116"," Indonesia","14  a"
"60"," Iran (Islamic Republic of)","17  a"
"120"," Iraq","24  a"
"97"," Jamaica","8  a"
"95"," Jordan","8  a"
"58"," Kazakhstan","7  a"
"142"," Kenya","23  a"
"134"," Kiribati","20  a"
"122"," Kyrgyzstan","12  a"
"139"," Lao People's Democratic Republic","35  a"
"80"," Lebanon","6  a"
"159"," Lesotho","17  a"
"181"," Liberia","36  a"
"161"," Madagascar","41  a"
"171"," Malawi","42  a"
"101"," Maldives","4  a"
"182"," Mali","52  a"
"106"," Marshall Islands","26  a"
"159"," Mauritania","37  a"
"74"," Mexico","26  a"
"112"," Moldova (Republic of)","12  a"
"92"," Mongolia","5  a"
"50"," Montenegro","5  a"
"123"," Morocco","16  a"
"180"," Mozambique","48  a"
"148"," Myanmar","16  a"
"129"," Namibia","7  a"
"n.a"," Nauru","27  a"
"149"," Nepal","40  a"
"124"," Nicaragua","35  a"
"189"," Niger","76  a"
"157"," Nigeria","44  a"
"150"," Pakistan","21  a"
"119"," Palestine, State of","15  a"
"66"," Panama","26  a"
"153"," Papua New Guinea","21  a"
"110"," Paraguay","22  a"
"89"," Peru","22  a"
"113"," Philippines","15  a"
"37"," Qatar","4  a"
"158"," Rwanda","7  a"
"90"," Saint Lucia","8  a"
"104"," Samoa","11  a"
"143"," Sao Tome and Principe","35  a"
"164"," Senegal","31  a"
"67"," Serbia","3  a"
"184"," Sierra Leone","39  a"
"152"," Solomon Islands","21  a"
"n.a"," Somalia","45  a"
"113"," South Africa","6  a"
"187"," South Sudan","52  a"
"76"," Sri Lanka","12  a"
"167"," Sudan","34  a"
"100"," Suriname","19  a"
"155"," Syrian Arab Republic","13  a"
"127"," Tajikistan","12  a"
"154"," Tanzania (United Republic of)","31  a"
"83"," Thailand","23  a"
"80"," The former Yugoslav Republic of Macedonia","7  a"
"132"," Timor-Leste","19  a"
"165"," Togo","22  a"
"98"," Tonga","6  a"
"69"," Trinidad and Tobago","11  a"
"95"," Tunisia","2  a"
"64"," Turkey","15  a"
"108"," Turkmenistan","6  a"
"n.a"," Tuvalu","10  a"
"162"," Uganda","40  a"
"88"," Ukraine","9  a"
"55"," Uruguay","25  a"
"105"," Uzbekistan","7  a"
"138"," Vanuatu","21  a"
"116"," Viet Nam","11  a"
"178"," Yemen","32  a"
"144"," Zambia","31  a"
"156"," Zimbabwe","32  a"
"<a name="a"></a>a: Data refer to the most recent year available during the period specified.<br />"
